                 sim	               state	              dist_x	                time	                step	                 Day	        IC_Cl_(mg/l)	             NO3_0.0	             NO3_0.1	            NO3_0.25	             NO3_0.5	             NO3_1.0	
                   1	              transp	             2.49373	                   0	                   0	  0.000000000000e+00	  2.764546000000e+03	  1.019919393467e-01	  1.019919393467e-01	  1.019919393467e-01	  1.019919393467e-01	  1.019919393467e-01	
                   1	              transp	             2.49373	            0.423212	                   1	  4.232115493000e-01	  2.764546000000e+03	  1.019919393467e-01	  1.018122422991e-01	  1.015439973715e-01	  1.010979806996e-01	  1.002088483660e-01	
                   1	              transp	             2.49373	            0.846423	                   2	  8.464230986000e-01	  2.764546000000e+03	  1.019919393467e-01	  1.016328618104e-01	  1.010980224507e-01	  1.002118564927e-01	  9.845692622706e-02	
                   1	              transp	             2.49373	             1.26963	                   3	  1.269634647900e+00	  2.764546000000e+03	  1.019919393467e-01	  1.014537973678e-01	  1.006540062240e-01	  9.933349916808e-02	  9.673563243312e-02	
                   1	              transp	             2.49373	             1.69285	                   4	  1.692846197200e+00	  2.764546000000e+03	  1.019919393467e-01	  1.012750484145e-01	  1.002119400890e-01	  9.846284064894e-02	  9.504443151775e-02	
                   1	              transp	             2.49373	             2.11606	                   5	  2.116057746500e+00	  2.764546000000e+03	  1.019919393467e-01	  1.010966143945e-01	  9.977181548094e-02	  9.759981345520e-02	  9.338279737590e-02	
                   1	              transp	             2.49373	             2.53927	                   6	  2.539269295800e+00	  2.764546000000e+03	  1.019919393467e-01	  1.009184947530e-01	  9.933362387278e-02	  9.674435069829e-02	  9.175021310029e-02	
                   2	              transp	             2.49373	             2.53927	                   0	  2.539269295800e+00	  2.764546000000e+03	  1.019919393467e-01	  1.009184947530e-01	  9.933362387278e-02	  9.674435069829e-02	  9.175021310029e-02	
                   2	              transp	             2.49373	             35.2059	                   1	  3.520593596247e+01	  2.764546000000e+03	  1.019919393467e-01	  8.807608193060e-02	  7.072158110798e-02	  4.903844695087e-02	  2.352278609409e-02	
                   3	              transp	             2.49373	             35.2059	                   0	  3.520593596247e+01	  2.764546000000e+03	  1.019919393467e-01	  8.807608193060e-02	  7.072158110798e-02	  4.903844695087e-02	  2.352278609409e-02	
                   3	              transp	             2.49373	             35.6291	                   1	  3.562914751177e+01	  2.764546000000e+03	  1.019919393467e-01	  8.792090284544e-02	  7.041097632237e-02	  4.860862476640e-02	  2.311154406906e-02	
                   3	              transp	             2.49373	             36.0524	                   2	  3.605235906107e+01	  2.764546000000e+03	  1.019919393467e-01	  8.776599716650e-02	  7.010173569365e-02	  4.818256997510e-02	  2.270749166869e-02	
                   3	              transp	             2.49373	             36.4756	                   3	  3.647557061037e+01	  2.764546000000e+03	  1.019919393467e-01	  8.761136441207e-02	  6.979385323055e-02	  4.776024955576e-02	  2.231050319888e-02	
                   3	              transp	             2.49373	             36.8988	                   4	  3.689878215967e+01	  2.764546000000e+03	  1.019919393467e-01	  8.745700410129e-02	  6.948732296807e-02	  4.734163077659e-02	  2.192045516298e-02	
                   3	              transp	             2.49373	              37.322	                   5	  3.732199370897e+01	  2.764546000000e+03	  1.019919393467e-01	  8.730291575415e-02	  6.918213896744e-02	  4.692668119270e-02	  2.153722622340e-02	
                   3	              transp	             2.49373	             37.7452	                   6	  3.774520525827e+01	  2.764546000000e+03	  1.019919393467e-01	  8.714909889149e-02	  6.887829531597e-02	  4.651536864359e-02	  2.116069716386e-02	
                   3	              transp	             2.49373	             38.1684	                   7	  3.816841680757e+01	  2.764546000000e+03	  1.019919393469e-01	  8.699555303512e-02	  6.857578612702e-02	  4.610766125068e-02	  2.079075085235e-02	
                   3	              transp	             2.49373	             38.5916	                   8	  3.859162835687e+01	  2.764546000000e+03	  1.019919393492e-01	  8.684227770923e-02	  6.827460554104e-02	  4.570352741568e-02	  2.042727220500e-02	
                   3	              transp	             2.49373	             39.0148	                   9	  3.901483990617e+01	  2.764545999994e+03	  1.019919393719e-01	  8.668927245270e-02	  6.797474773504e-02	  4.530293582441e-02	  2.007014815308e-02	
                   3	              transp	             2.49373	             39.4381	                  10	  3.943805145547e+01	  2.764545999951e+03	  1.019919395394e-01	  8.653653689527e-02	  6.767620698200e-02	  4.490585548383e-02	  1.971926762507e-02	
                   3	              transp	             2.49373	             39.8613	                  11	  3.986126300477e+01	  2.764545999702e+03	  1.019919405145e-01	  8.638407112286e-02	  6.737897793490e-02	  4.451225590649e-02	  1.937452159266e-02	
                   3	              transp	             2.49373	             40.2845	                  12	  4.028447455407e+01	  2.764545998514e+03	  1.019919451569e-01	  8.623187707683e-02	  6.708305671148e-02	  4.412210781767e-02	  1.903580333942e-02	
                   3	              transp	             2.49373	             40.7077	                  13	  4.070768610337e+01	  2.764545993746e+03	  1.019919637964e-01	  8.607996299136e-02	  6.678844432199e-02	  4.373538538114e-02	  1.870300936614e-02	
                   3	              transp	             2.49373	             41.1309	                  14	  4.113089765267e+01	  2.764545977197e+03	  1.019920284890e-01	  8.592835536035e-02	  6.649515587873e-02	  4.335207214608e-02	  1.837604183326e-02	
