                 sim	               state	              dist_x	                time	                step	                 Day	        IC_Cl_(mg/l)	             NO3_0.0	             NO3_0.1	            NO3_0.25	             NO3_0.5	             NO3_1.0	
                   1	              transp	             2.49373	                   0	                   0	  0.000000000000e+00	  4.983710001901e+02	  1.019919393467e-01	  1.019919393467e-01	  1.019919393467e-01	  1.019919393467e-01	  1.019919393467e-01	
                   1	              transp	             2.49373	            0.210212	                   1	  2.102115493000e-01	  4.983710001901e+02	  1.019919393467e-01	  1.019026440568e-01	  1.017692028955e-01	  1.015469424559e-01	  1.011024214123e-01	
                   1	              transp	             2.49373	            0.420423	                   2	  4.204230986000e-01	  4.983710001901e+02	  1.019919393467e-01	  1.018134269350e-01	  1.015469528014e-01	  1.011038868389e-01	  1.002206602767e-01	
                   1	              transp	             2.49373	            0.630635	                   3	  6.306346479000e-01	  4.983710001901e+02	  1.019919393467e-01	  1.017242879240e-01	  1.013251880712e-01	  1.006627643011e-01	  9.934658938914e-02	
                   1	              transp	             2.49373	            0.840846	                   4	  8.408461972000e-01	  4.983710001901e+02	  1.019919393467e-01	  1.016352269554e-01	  1.011039076451e-01	  1.002235664083e-01	  9.848014167946e-02	
                   1	              transp	             2.49373	             1.05106	                   5	  1.051057746500e+00	  4.983710001901e+02	  1.019919393467e-01	  1.015462439608e-01	  1.008831104653e-01	  9.978628476324e-02	  9.762125066234e-02	
                   1	              transp	             2.49373	             1.26127	                   6	  1.261269295800e+00	  4.983710001901e+02	  1.019919393467e-01	  1.014573388721e-01	  1.006627954765e-01	  9.935091100512e-02	  9.676985043236e-02	
                   1	              transp	             2.49373	             1.47148	                   7	  1.471480845100e+00	  4.983710001901e+02	  1.019919393467e-01	  1.013685116209e-01	  1.004429616257e-01	  9.891743680975e-02	  9.592587565890e-02	
                   1	              transp	             2.49373	             1.68169	                   8	  1.681692394400e+00	  4.983710001901e+02	  1.019919393467e-01	  1.012797621392e-01	  1.002236078621e-01	  9.848585388921e-02	  9.508926158110e-02	
                   1	              transp	             2.49373	              1.8919	                   9	  1.891903943700e+00	  4.983710001901e+02	  1.019919393467e-01	  1.011910903588e-01	  1.000047331372e-01	  9.805615399176e-02	  9.425994400291e-02	
                   1	              transp	             2.49373	             2.10212	                  10	  2.102115493000e+00	  4.983710001901e+02	  1.019919393467e-01	  1.011024962117e-01	  9.978633640503e-02	  9.762832890165e-02	  9.343785928819e-02	
                   1	              transp	             2.49373	             2.31233	                  11	  2.312327042300e+00	  4.983710001901e+02	  1.019919393467e-01	  1.010139796300e-01	  9.956841662157e-02	  9.720237043899e-02	  9.262294435577e-02	
                   2	              transp	             2.49373	             2.31233	                   0	  2.312327042300e+00	  4.983710001901e+02	  1.019919393467e-01	  1.010139796300e-01	  9.956841662157e-02	  9.720237043899e-02	  9.262294435577e-02	
                   2	              transp	             2.49373	              34.979	                   1	  3.497899370897e+01	  4.983710001900e+02	  1.019919393467e-01	  8.815941585140e-02	  7.088874418711e-02	  4.927061117126e-02	  2.374653566313e-02	
                   3	              transp	             2.49373	              34.979	                   0	  3.497899370897e+01	  4.983710001900e+02	  1.019919393467e-01	  8.815941585140e-02	  7.088874418711e-02	  4.927061117126e-02	  2.374653566313e-02	
                   3	              transp	             2.49373	             35.1892	                   1	  3.518920525827e+01	  4.983710001900e+02	  1.019919393467e-01	  8.808223110891e-02	  7.073393281375e-02	  4.905564043454e-02	  2.353943110559e-02	
                   3	              transp	             2.49373	             35.3994	                   2	  3.539941680757e+01	  4.983710001900e+02	  1.019919393469e-01	  8.800511394286e-02	  7.057945952750e-02	  4.884160762859e-02	  2.333413280306e-02	
                   3	              transp	             2.49373	             35.6096	                   3	  3.560962835687e+01	  4.983710001899e+02	  1.019919393498e-01	  8.792806429624e-02	  7.042532359175e-02	  4.862850866235e-02	  2.313062500290e-02	
                   3	              transp	             2.49373	             35.8198	                   4	  3.581983990617e+01	  4.983710001890e+02	  1.019919393778e-01	  8.785108212922e-02	  7.027152428521e-02	  4.841633947205e-02	  2.292889209436e-02	
                   3	              transp	             2.49373	             36.0301	                   5	  3.603005145547e+01	  4.983710001818e+02	  1.019919395812e-01	  8.777416751201e-02	  7.011806097597e-02	  4.820509607197e-02	  2.272891863120e-02	
                   3	              transp	             2.49373	             36.2403	                   6	  3.624026300477e+01	  4.983710001411e+02	  1.019919407465e-01	  8.769732106178e-02	  6.996493346967e-02	  4.799477479270e-02	  2.253068944196e-02	
                   3	              transp	             2.49373	             36.4505	                   7	  3.645047455407e+01	  4.983709999496e+02	  1.019919462185e-01	  8.762054559144e-02	  6.981214332090e-02	  4.778537317605e-02	  2.233419004460e-02	
                   3	              transp	             2.49373	             36.6607	                   8	  3.666068610337e+01	  4.983709991904e+02	  1.019919679157e-01	  8.754385126601e-02	  6.965969792701e-02	  4.757689276072e-02	  2.213940793202e-02	
                   3	              transp	             2.49373	             36.8709	                   9	  3.687089765267e+01	  4.983709965851e+02	  1.019920423733e-01	  8.746726933458e-02	  6.950762141013e-02	  4.736934646360e-02	  2.194633595847e-02	
                   3	              transp	             2.49373	             37.0811	                  10	  3.708110920197e+01	  4.983709886902e+02	  1.019922680009e-01	  8.739088398112e-02	  6.935597980754e-02	  4.716277561047e-02	  2.175498010287e-02	
                   3	              transp	             2.49373	             37.2913	                  11	  3.729132075127e+01	  4.983709672106e+02	  1.019928818686e-01	  8.731489787506e-02	  6.920493280751e-02	  4.695728479251e-02	  2.156537524813e-02	
