,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.,EC Voorr Sen.,Dr.In-Min,Dr.In-Gem,Dr.In-Max,Dr.Uit-Min,Dr.Uit-Gem,Dr.Uit-Max,D. Pres - Min,D. Pres - Gem,D. Pres - Max
7276,574,2020-11-04 16:10:00,16:10,,,6,,5,0,0,0,0,0,0,,,
7277,573,2020-11-04 16:20:00,16:20,,,6,,5,0,0,0,0,0,0,,,
7278,572,2020-11-04 16:30:00,16:30,,,6,,5,0,0,0,0,0,0,,,
7279,571,2020-11-04 16:40:00,16:40,,,6,,5,0,0,0,0,0,0,,,
7280,570,2020-11-04 16:50:00,16:50,,,6,,5,0,0,0,0,0,0,,,
7281,569,2020-11-04 17:00:00,17:00,,,6,,5,0,0,0,0,0,0,,,
7282,568,2020-11-04 17:10:00,17:10,,,6,,5,0,0,0,0,0,0,,,
7283,567,2020-11-04 17:20:00,17:20,,,6,,5,0,0,0,0,0,0,,,
7284,566,2020-11-04 17:30:00,17:30,,,6,,5,0,0,0,0,0,0,,,
7285,565,2020-11-04 17:40:00,17:40,,,6,,5,0,0,0,0,0,0,,,
7286,564,2020-11-04 17:50:00,17:50,,,6,,5,0,0,0,0,0,0,,,
7287,563,2020-11-04 18:00:00,18:00,,,6,,5,0,0,0,0,0,0,,,
7288,562,2020-11-04 18:10:00,18:10,,,6,,5,0,0,0,0,0,0,,,
7289,561,2020-11-04 18:20:00,18:20,,,6,,5,0,0,0,0,0,0,,,
7290,560,2020-11-04 18:30:00,18:30,,,6,,5,0,0,0,0,0,0,,,
7291,559,2020-11-04 18:40:00,18:40,,,6,,5,0,0,0,0,0,0,,,
7292,558,2020-11-04 18:50:00,18:50,,,6,,5,0,0,0,0,0,0,,,
7293,557,2020-11-04 19:00:00,19:00,,,6,,5,0,0,0,0,0,0,,,
7294,556,2020-11-04 19:10:00,19:10,,,6,,5,0,0,0,0,0,0,,,
7295,555,2020-11-04 19:20:00,19:20,,,6,,5,0,0,0,0,0,0,,,
7296,554,2020-11-04 19:30:00,19:30,,,6,,5,0,0,0,0,0,0,,,
7297,553,2020-11-04 19:40:00,19:40,,,6,,5,0,0,0,0,0,0,,,
7298,552,2020-11-04 19:50:00,19:50,,,6,,5,0,0,0,0,0,0,,,
7299,551,2020-11-04 20:00:00,20:00,,,6,,5,0,0,0,0,0,0,,,
7300,550,2020-11-04 20:10:00,20:10,,,6,,5,0,0,0,0,0,0,,,
7301,549,2020-11-04 20:20:00,20:20,,,6,,5,0,0,0,0,0,0,,,
7302,548,2020-11-04 20:30:00,20:30,,,6,,5,0,0,0,0,0,0,,,
7303,547,2020-11-04 20:40:00,20:40,,,6,,5,0,0,0,0,0,0,,,
7304,546,2020-11-04 20:50:00,20:50,,,6,,5,0,0,0,0,0,0,,,
7305,545,2020-11-04 21:00:00,21:00,,,6,,5,0,0,0,0,0,0,,,
7306,544,2020-11-04 21:10:00,21:10,,,6,,5,0,0,0,0,0,0,,,
7307,543,2020-11-04 21:20:00,21:20,,,6,,5,0,0,0,0,0,0,,,
7308,542,2020-11-04 21:30:00,21:30,,,6,,5,0,0,0,0,0,0,,,
7309,541,2020-11-04 21:40:00,21:40,,,6,,5,0,0,0,0,0,0,,,
7310,540,2020-11-04 21:50:00,21:50,,,6,,5,0,0,0,0,0,0,,,
7311,539,2020-11-04 22:00:00,22:00,,,6,,5,0,0,0,0,0,0,,,
7312,538,2020-11-04 22:10:00,22:10,,,6,,5,0,0,0,0,0,0,,,
7313,537,2020-11-04 22:20:00,22:20,,,6,,5,0,0,0,0,0,0,,,
7314,536,2020-11-04 22:30:00,22:30,,,6,,5,0,0,0,0,0,0,,,
7315,535,2020-11-04 22:40:00,22:40,,,6,,5,0,0,0,0,0,0,,,
7316,534,2020-11-04 22:50:00,22:50,,,6,,5,0,0,0,0,0,0,,,
7317,533,2020-11-04 23:00:00,23:00,,,6,,5,0,0,0,0,0,0,,,
7318,532,2020-11-04 23:10:00,23:10,,,6,,5,0,0,0,0,0,0,,,
7319,531,2020-11-04 23:20:00,23:20,,,6,,5,0,0,0,0,0,0,,,
7320,530,2020-11-04 23:30:00,23:30,,,6,,5,0,0,0,0,0,0,,,
7321,529,2020-11-04 23:40:00,23:40,,,6,,5,0,0,0,0,0,0,,,
7322,528,2020-11-04 23:50:00,23:50,,,6,,5,0,0,0,0,0,0,,,
7323,527,2020-11-05 00:00:00,00:00,,,6,,5,0,0,0,0,0,0,,,
7324,526,2020-11-05 00:10:00,00:10,,,6,,5,0,0,0,0,0,0,,,
7325,525,2020-11-05 00:20:00,00:20,,,6,,5,0,0,0,0,0,0,,,
7326,524,2020-11-05 00:30:00,00:30,,,6,,5,0,0,0,0,0,0,,,
7327,523,2020-11-05 00:40:00,00:40,,,6,,5,0,0,0,0,0,0,,,
7328,522,2020-11-05 00:50:00,00:50,,,6,,5,0,0,0,0,0,0,,,
7329,521,2020-11-05 01:00:00,01:00,,,6,,5,0,0,0,0,0,0,,,
7330,520,2020-11-05 01:10:00,01:10,,,6,,5,0,0,0,0,0,0,,,
7331,519,2020-11-05 01:20:00,01:20,,,6,,5,0,0,0,0,0,0,,,
7332,518,2020-11-05 01:30:00,01:30,,,6,,5,0,0,0,0,0,0,,,
7333,517,2020-11-05 01:40:00,01:40,,,6,,5,0,0,0,0,0,0,,,
7334,516,2020-11-05 01:50:00,01:50,,,6,,5,0,0,0,0,0,0,,,
7335,515,2020-11-05 02:00:00,02:00,,,6,,5,0,0,0,0,0,0,,,
7336,514,2020-11-05 02:10:00,02:10,,,6,,5,0,0,0,0,0,0,,,
7337,513,2020-11-05 02:20:00,02:20,,,6,,5,0,0,0,0,0,0,,,
7338,512,2020-11-05 02:30:00,02:30,,,6,,5,0,0,0,0,0,0,,,
7339,511,2020-11-05 02:40:00,02:40,,,6,,5,0,0,0,0,0,0,,,
7340,510,2020-11-05 02:50:00,02:50,,,6,,5,0,0,0,0,0,0,,,
7341,509,2020-11-05 03:00:00,03:00,,,6,,5,0,0,0,0,0,0,,,
7342,508,2020-11-05 03:10:00,03:10,,,6,,5,0,0,0,0,0,0,,,
7343,507,2020-11-05 03:20:00,03:20,,,6,,5,0,0,0,0,0,0,,,
7344,506,2020-11-05 03:30:00,03:30,,,6,,5,0,0,0,0,0,0,,,
7345,505,2020-11-05 03:40:00,03:40,,,6,,5,0,0,0,0,0,0,,,
7346,504,2020-11-05 03:50:00,03:50,,,6,,5,0,0,0,0,0,0,,,
7347,503,2020-11-05 04:00:00,04:00,,,6,,5,0,0,0,0,0,0,,,
7348,502,2020-11-05 04:10:00,04:10,,,6,,5,0,0,0,0,0,0,,,
7349,501,2020-11-05 04:20:00,04:20,,,6,,5,0,0,0,0,0,0,,,
