,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.,EC Voorr Sen.,Dr.In-Min,Dr.In-Gem,Dr.In-Max,Dr.Uit-Min,Dr.Uit-Gem,Dr.Uit-Max,D. Pres - Min,D. Pres - Gem,D. Pres - Max
2096,569,2020-09-29 16:10:00,16:10,,,7,,5,0,0,0,0,0,0,,,
2097,568,2020-09-29 16:20:00,16:20,,,7,,5,0,0,0,0,0,0,,,
2098,567,2020-09-29 16:30:00,16:30,,,7,,5,0,0,0,0,0,0,,,
2099,566,2020-09-29 16:40:00,16:40,,,7,,5,0,0,0,0,0,0,,,
2100,565,2020-09-29 16:50:00,16:50,,,6,,5,0,0,0,0,0,0,,,
2101,564,2020-09-29 17:00:00,17:00,,,6,,5,0,0,0,0,0,0,,,
2102,563,2020-09-29 17:10:00,17:10,,,6,,5,0,0,0,0,0,0,,,
2103,562,2020-09-29 17:20:00,17:20,,,6,,5,0,0,0,0,0,0,,,
2104,561,2020-09-29 17:30:00,17:30,,,6,,5,0,0,0,0,0,0,,,
2105,560,2020-09-29 17:40:00,17:40,,,6,,5,0,0,0,0,0,0,,,
2106,559,2020-09-29 17:50:00,17:50,,,6,,5,0,0,0,0,0,0,,,
2107,558,2020-09-29 18:00:00,18:00,,,6,,5,0,0,0,0,0,0,,,
2108,557,2020-09-29 18:10:00,18:10,,,6,,5,0,0,0,0,0,0,,,
2109,556,2020-09-29 18:20:00,18:20,,,6,,5,0,0,0,0,0,0,,,
2110,555,2020-09-29 18:30:00,18:30,,,6,,5,0,0,0,0,0,0,,,
2111,554,2020-09-29 18:40:00,18:40,,,6,,5,0,0,0,0,0,0,,,
2112,553,2020-09-29 18:50:00,18:50,,,6,,5,0,0,0,0,0,0,,,
2113,552,2020-09-29 19:00:00,19:00,,,6,,5,0,0,0,0,0,0,,,
2114,551,2020-09-29 19:10:00,19:10,,,7,,5,0,24,35,0,23,33,,,
2115,550,2020-09-29 19:20:00,19:20,,,7,,6,34,34,35,32,33,33,,,
2116,549,2020-09-29 19:30:00,19:30,,,7,,6,34,34,35,32,33,33,,,
2117,548,2020-09-29 19:40:00,19:40,,,7,,6,34,34,35,32,33,33,,,
2118,547,2020-09-29 19:50:00,19:50,,,7,,6,34,34,35,32,33,33,,,
2119,546,2020-09-29 20:00:00,20:00,,,7,,5,34,34,34,32,33,33,,,
2120,545,2020-09-29 20:10:00,20:10,,,7,,6,34,34,35,32,32,33,,,
2121,544,2020-09-29 20:20:00,20:20,,,7,,6,34,34,35,32,32,33,,,
2122,543,2020-09-29 20:30:00,20:30,,,7,,6,34,34,35,32,32,32,,,
2123,542,2020-09-29 20:40:00,20:40,,,7,,6,34,34,35,32,32,33,,,
2124,541,2020-09-29 20:50:00,20:50,,,7,,6,34,34,35,32,32,32,,,
2125,540,2020-09-29 21:00:00,21:00,,,7,,6,34,34,35,32,32,33,,,
2126,539,2020-09-29 21:10:00,21:10,,,7,,6,34,34,35,32,32,33,,,
2127,538,2020-09-29 21:20:00,21:20,,,7,,6,34,34,35,32,32,32,,,
2128,537,2020-09-29 21:30:00,21:30,,,7,,6,34,34,35,32,32,32,,,
