,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.
5564,653,2020-10-09 16:10:00,16:10,,,13,
5565,652,2020-10-09 16:20:00,16:20,,,13,
5566,651,2020-10-09 16:30:00,16:30,,,13,
5567,650,2020-10-09 16:40:00,16:40,,,13,
5568,649,2020-10-09 16:50:00,16:50,,,13,
5569,648,2020-10-09 17:00:00,17:00,,,13,
5570,647,2020-10-09 17:10:00,17:10,,,13,
5571,646,2020-10-09 17:20:00,17:20,,,13,
5572,645,2020-10-09 17:30:00,17:30,,,13,
5573,644,2020-10-09 17:40:00,17:40,,,13,
5574,643,2020-10-09 17:50:00,17:50,,,13,
5575,642,2020-10-09 18:00:00,18:00,,,13,
5576,641,2020-10-09 18:10:00,18:10,,,13,
5577,640,2020-10-09 18:20:00,18:20,,,13,
5578,639,2020-10-09 18:30:00,18:30,,,13,
5579,638,2020-10-09 18:40:00,18:40,,,13,
5580,636,2020-10-09 18:50:00,18:50,,,13,
5581,635,2020-10-09 19:00:00,19:00,,,13,
5582,634,2020-10-09 19:10:00,19:10,,,13,
5583,633,2020-10-09 19:20:00,19:20,,,13,
5584,632,2020-10-09 19:30:00,19:30,,,13,
5585,631,2020-10-09 19:40:00,19:40,,,13,
5586,628,2020-10-09 19:50:00,19:50,,,13,
5587,627,2020-10-09 20:00:00,20:00,,,13,
5588,626,2020-10-09 20:10:00,20:10,,,13,
5589,625,2020-10-09 20:20:00,20:20,,,13,
5590,624,2020-10-09 20:30:00,20:30,,,13,
5591,623,2020-10-09 20:40:00,20:40,,,13,
5592,622,2020-10-09 20:50:00,20:50,,,13,
5593,621,2020-10-09 21:00:00,21:00,,,13,
5594,620,2020-10-09 21:10:00,21:10,,,13,
5595,619,2020-10-09 21:20:00,21:20,,,13,
5596,618,2020-10-09 21:30:00,21:30,,,13,
5597,617,2020-10-09 21:40:00,21:40,,,13,
5598,616,2020-10-09 21:50:00,21:50,,,13,
5599,615,2020-10-09 22:00:00,22:00,,,13,
5600,614,2020-10-09 22:10:00,22:10,,,13,
5601,613,2020-10-09 22:20:00,22:20,,,13,
5602,612,2020-10-09 22:30:00,22:30,,,13,
5603,611,2020-10-09 22:40:00,22:40,,,13,
5604,609,2020-10-09 22:50:00,22:50,,,13,
5605,608,2020-10-09 23:00:00,23:00,,,13,
5606,607,2020-10-09 23:10:00,23:10,,,13,
5607,606,2020-10-09 23:20:00,23:20,,,13,
5608,605,2020-10-09 23:30:00,23:30,,,13,
5609,604,2020-10-09 23:40:00,23:40,,,13,
5610,601,2020-10-09 23:50:00,23:50,,,13,
5611,600,2020-10-10 00:00:00,00:00,,,13,
5612,599,2020-10-10 00:10:00,00:10,,,13,
5613,598,2020-10-10 00:20:00,00:20,,,13,
5614,597,2020-10-10 00:30:00,00:30,,,13,
5615,596,2020-10-10 00:40:00,00:40,,,13,
5616,595,2020-10-10 00:50:00,00:50,,,13,
5617,594,2020-10-10 01:00:00,01:00,,,13,
5618,593,2020-10-10 01:10:00,01:10,,,13,
5619,592,2020-10-10 01:20:00,01:20,,,13,
5620,591,2020-10-10 01:30:00,01:30,,,13,
5621,590,2020-10-10 01:40:00,01:40,,,13,
5622,589,2020-10-10 01:50:00,01:50,,,13,
5623,588,2020-10-10 02:00:00,02:00,,,13,
5624,587,2020-10-10 02:10:00,02:10,,,13,
5625,586,2020-10-10 02:20:00,02:20,,,13,
5626,585,2020-10-10 02:30:00,02:30,,,13,
5627,584,2020-10-10 02:40:00,02:40,,,13,
5628,582,2020-10-10 02:50:00,02:50,,,13,
5629,581,2020-10-10 03:00:00,03:00,,,13,
5630,580,2020-10-10 03:10:00,03:10,,,13,
5631,579,2020-10-10 03:20:00,03:20,,,13,
5632,578,2020-10-10 03:30:00,03:30,,,13,
5633,577,2020-10-10 03:40:00,03:40,,,13,
5634,574,2020-10-10 03:50:00,03:50,,,13,
5635,573,2020-10-10 04:00:00,04:00,,,13,
5636,572,2020-10-10 04:10:00,04:10,,,13,
5637,571,2020-10-10 04:20:00,04:20,,,13,
5638,570,2020-10-10 04:30:00,04:30,,,13,
5639,569,2020-10-10 04:40:00,04:40,,,13,
5640,568,2020-10-10 04:50:00,04:50,,,13,
5641,567,2020-10-10 05:00:00,05:00,,,13,
5642,566,2020-10-10 05:10:00,05:10,,,13,
5643,565,2020-10-10 05:20:00,05:20,,,13,
5644,564,2020-10-10 05:30:00,05:30,,,13,
5645,563,2020-10-10 05:40:00,05:40,,,13,
5646,562,2020-10-10 05:50:00,05:50,,,13,
5647,561,2020-10-10 06:00:00,06:00,,,13,
5648,560,2020-10-10 06:10:00,06:10,,,13,
5649,559,2020-10-10 06:20:00,06:20,,,13,
5650,558,2020-10-10 06:30:00,06:30,,,13,
5651,557,2020-10-10 06:40:00,06:40,,,13,
5652,555,2020-10-10 06:50:00,06:50,,,13,
5653,554,2020-10-10 07:00:00,07:00,,,13,
5654,553,2020-10-10 07:10:00,07:10,,,13,
5655,552,2020-10-10 07:20:00,07:20,,,13,
5656,551,2020-10-10 07:30:00,07:30,,,13,
5657,550,2020-10-10 07:40:00,07:40,,,13,
5658,547,2020-10-10 07:50:00,07:50,,,13,
5659,546,2020-10-10 08:00:00,08:00,,,13,
5660,545,2020-10-10 08:10:00,08:10,,,13,
5661,544,2020-10-10 08:20:00,08:20,,,13,
5662,543,2020-10-10 08:30:00,08:30,,,13,
5663,542,2020-10-10 08:40:00,08:40,,,13,
