,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.
9034,664,2020-10-30 16:10:00,16:10,,,13,
9035,663,2020-10-30 16:20:00,16:20,,,13,
9036,662,2020-10-30 16:30:00,16:30,,,13,
9037,661,2020-10-30 16:40:00,16:40,,,13,
9038,658,2020-10-30 16:50:00,16:50,,,13,
9039,657,2020-10-30 17:00:00,17:00,,,13,
9040,656,2020-10-30 17:10:00,17:10,,,13,
9041,655,2020-10-30 17:20:00,17:20,,,13,
9042,654,2020-10-30 17:30:00,17:30,,,13,
9043,653,2020-10-30 17:40:00,17:40,,,13,
9044,652,2020-10-30 17:50:00,17:50,,,13,
9045,651,2020-10-30 18:00:00,18:00,,,13,
9046,650,2020-10-30 18:10:00,18:10,,,13,
9047,649,2020-10-30 18:20:00,18:20,,,13,
9048,648,2020-10-30 18:30:00,18:30,,,13,
9049,647,2020-10-30 18:40:00,18:40,,,13,
9050,646,2020-10-30 18:50:00,18:50,,,13,
9051,645,2020-10-30 19:00:00,19:00,,,13,
9052,644,2020-10-30 19:10:00,19:10,,,13,
9053,643,2020-10-30 19:20:00,19:20,,,13,
9054,642,2020-10-30 19:30:00,19:30,,,13,
9055,641,2020-10-30 19:40:00,19:40,,,13,
9056,639,2020-10-30 19:50:00,19:50,,,13,
9057,638,2020-10-30 20:00:00,20:00,,,13,
9058,637,2020-10-30 20:10:00,20:10,,,13,
9059,636,2020-10-30 20:20:00,20:20,,,13,
9060,635,2020-10-30 20:30:00,20:30,,,13,
9061,634,2020-10-30 20:40:00,20:40,,,13,
9062,631,2020-10-30 20:50:00,20:50,,,13,
9063,630,2020-10-30 21:00:00,21:00,,,13,
9064,629,2020-10-30 21:10:00,21:10,,,13,
9065,628,2020-10-30 21:20:00,21:20,,,13,
9066,627,2020-10-30 21:30:00,21:30,,,13,
9067,626,2020-10-30 21:40:00,21:40,,,13,
9068,625,2020-10-30 21:50:00,21:50,,,13,
9069,624,2020-10-30 22:00:00,22:00,,,13,
9070,623,2020-10-30 22:10:00,22:10,,,13,
9071,622,2020-10-30 22:20:00,22:20,,,13,
9072,621,2020-10-30 22:30:00,22:30,,,13,
9073,620,2020-10-30 22:40:00,22:40,,,13,
9074,619,2020-10-30 22:50:00,22:50,,,13,
9075,618,2020-10-30 23:00:00,23:00,,,13,
9076,617,2020-10-30 23:10:00,23:10,,,13,
9077,616,2020-10-30 23:20:00,23:20,,,13,
9078,615,2020-10-30 23:30:00,23:30,,,13,
9079,614,2020-10-30 23:40:00,23:40,,,13,
9080,612,2020-10-30 23:50:00,23:50,,,13,
9081,611,2020-10-31 00:00:00,00:00,,,13,
9082,610,2020-10-31 00:10:00,00:10,,,13,
9083,609,2020-10-31 00:20:00,00:20,,,13,
9084,608,2020-10-31 00:30:00,00:30,,,13,
9085,607,2020-10-31 00:40:00,00:40,,,13,
9086,604,2020-10-31 00:50:00,00:50,,,13,
9087,603,2020-10-31 01:00:00,01:00,,,13,
9088,602,2020-10-31 01:10:00,01:10,,,13,
9089,601,2020-10-31 01:20:00,01:20,,,13,
9090,600,2020-10-31 01:30:00,01:30,,,13,
9091,599,2020-10-31 01:40:00,01:40,,,13,
9092,598,2020-10-31 01:50:00,01:50,,,13,
9093,597,2020-10-31 02:00:00,02:00,,,13,
9094,596,2020-10-31 02:10:00,02:10,,,13,
9095,595,2020-10-31 02:20:00,02:20,,,13,
9096,594,2020-10-31 02:30:00,02:30,,,13,
9097,593,2020-10-31 02:40:00,02:40,,,13,
9098,592,2020-10-31 02:50:00,02:50,,,13,
9099,591,2020-10-31 03:00:00,03:00,,,13,
9100,590,2020-10-31 03:10:00,03:10,,,13,
9101,589,2020-10-31 03:20:00,03:20,,,13,
9102,588,2020-10-31 03:30:00,03:30,,,13,
9103,587,2020-10-31 03:40:00,03:40,,,13,
9104,585,2020-10-31 03:50:00,03:50,,,13,
9105,584,2020-10-31 04:00:00,04:00,,,13,
9106,583,2020-10-31 04:10:00,04:10,,,13,
9107,582,2020-10-31 04:20:00,04:20,,,13,
9108,581,2020-10-31 04:30:00,04:30,,,13,
9109,580,2020-10-31 04:40:00,04:40,,,13,
9110,577,2020-10-31 04:50:00,04:50,,,13,
9111,576,2020-10-31 05:00:00,05:00,,,13,
9112,575,2020-10-31 05:10:00,05:10,,,13,
9113,574,2020-10-31 05:20:00,05:20,,,13,
9114,573,2020-10-31 05:30:00,05:30,,,13,
