,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.
9138,646,2021-01-19 16:10:00,16:10,,,1.6,
9139,645,2021-01-19 16:20:00,16:20,,,1.6,
9140,644,2021-01-19 16:30:00,16:30,,,1.6,
9141,643,2021-01-19 16:40:00,16:40,,,1.6,
9142,642,2021-01-19 16:50:00,16:50,,,1.6,
9143,641,2021-01-19 17:00:00,17:00,,,1.6,
9144,640,2021-01-19 17:10:00,17:10,,,1.6,
9145,639,2021-01-19 17:20:00,17:20,,,1.6,
9146,638,2021-01-19 17:30:00,17:30,,,1.6,
9147,637,2021-01-19 17:40:00,17:40,,,1.6,
9148,635,2021-01-19 17:50:00,17:50,,,1.6,
9149,634,2021-01-19 18:00:00,18:00,,,1.6,
9150,633,2021-01-19 18:10:00,18:10,,,1.7,
9151,632,2021-01-19 18:20:00,18:20,,,1.6,
9152,631,2021-01-19 18:30:00,18:30,,,1.6,
9153,630,2021-01-19 18:40:00,18:40,,,1.6,
9154,627,2021-01-19 18:50:00,18:50,,,1.6,
9155,626,2021-01-19 19:00:00,19:00,,,1.6,
9156,625,2021-01-19 19:10:00,19:10,,,1.6,
9157,624,2021-01-19 19:20:00,19:20,,,1.6,
9158,623,2021-01-19 19:30:00,19:30,,,1.6,
9159,622,2021-01-19 19:40:00,19:40,,,1.6,
9160,621,2021-01-19 19:50:00,19:50,,,1.6,
9161,620,2021-01-19 20:00:00,20:00,,,1.6,
9162,619,2021-01-19 20:10:00,20:10,,,1.6,
9163,618,2021-01-19 20:20:00,20:20,,,1.6,
9164,617,2021-01-19 20:30:00,20:30,,,1.6,
9165,616,2021-01-19 20:40:00,20:40,,,1.6,
9166,615,2021-01-19 20:50:00,20:50,,,1.6,
9167,614,2021-01-19 21:00:00,21:00,,,1.6,
9168,613,2021-01-19 21:10:00,21:10,,,1.6,
9169,612,2021-01-19 21:20:00,21:20,,,1.6,
9170,611,2021-01-19 21:30:00,21:30,,,1.6,
9171,610,2021-01-19 21:40:00,21:40,,,1.6,
9172,608,2021-01-19 21:50:00,21:50,,,1.6,
9173,607,2021-01-19 22:00:00,22:00,,,1.6,
9174,606,2021-01-19 22:10:00,22:10,,,1.6,
9175,605,2021-01-19 22:20:00,22:20,,,1.6,
9176,604,2021-01-19 22:30:00,22:30,,,1.6,
9177,603,2021-01-19 22:40:00,22:40,,,1.6,
9178,600,2021-01-19 22:50:00,22:50,,,1.6,
9179,599,2021-01-19 23:00:00,23:00,,,1.6,
9180,598,2021-01-19 23:10:00,23:10,,,1.6,
9181,597,2021-01-19 23:20:00,23:20,,,1.6,
9182,596,2021-01-19 23:30:00,23:30,,,1.6,
9183,595,2021-01-19 23:40:00,23:40,,,1.6,
9184,594,2021-01-19 23:50:00,23:50,,,1.6,
9185,593,2021-01-20 00:00:00,00:00,,,1.6,
9186,592,2021-01-20 00:10:00,00:10,,,1.6,
9187,591,2021-01-20 00:20:00,00:20,,,1.6,
9188,590,2021-01-20 00:30:00,00:30,,,1.6,
9189,589,2021-01-20 00:40:00,00:40,,,1.7,
9190,588,2021-01-20 00:50:00,00:50,,,1.6,
9191,587,2021-01-20 01:00:00,01:00,,,1.6,
9192,586,2021-01-20 01:10:00,01:10,,,1.6,
9193,585,2021-01-20 01:20:00,01:20,,,1.6,
9194,584,2021-01-20 01:30:00,01:30,,,1.6,
9195,583,2021-01-20 01:40:00,01:40,,,1.6,
9196,581,2021-01-20 01:50:00,01:50,,,1.6,
9197,580,2021-01-20 02:00:00,02:00,,,1.6,
9198,579,2021-01-20 02:10:00,02:10,,,1.6,
9199,578,2021-01-20 02:20:00,02:20,,,1.6,
9200,577,2021-01-20 02:30:00,02:30,,,1.6,
9201,576,2021-01-20 02:40:00,02:40,,,1.6,
9202,573,2021-01-20 02:50:00,02:50,,,1.6,
9203,572,2021-01-20 03:00:00,03:00,,,1.6,
9204,571,2021-01-20 03:10:00,03:10,,,1.6,
9205,570,2021-01-20 03:20:00,03:20,,,1.6,
9206,569,2021-01-20 03:30:00,03:30,,,1.6,
9207,568,2021-01-20 03:40:00,03:40,,,1.6,
9208,567,2021-01-20 03:50:00,03:50,,,1.6,
9209,566,2021-01-20 04:00:00,04:00,,,1.6,
9210,565,2021-01-20 04:10:00,04:10,,,1.6,
9211,564,2021-01-20 04:20:00,04:20,,,1.6,
9212,563,2021-01-20 04:30:00,04:30,,,1.6,
9213,562,2021-01-20 04:40:00,04:40,,,1.6,
9214,561,2021-01-20 04:50:00,04:50,,,1.6,
9215,560,2021-01-20 05:00:00,05:00,,,1.6,
9216,559,2021-01-20 05:10:00,05:10,,,1.6,
9217,558,2021-01-20 05:20:00,05:20,,,1.6,
9218,557,2021-01-20 05:30:00,05:30,,,1.6,
9219,556,2021-01-20 05:40:00,05:40,,,1.6,
9220,554,2021-01-20 05:50:00,05:50,,,1.6,
9221,553,2021-01-20 06:00:00,06:00,,,1.6,
9222,552,2021-01-20 06:10:00,06:10,,,1.6,
9223,551,2021-01-20 06:20:00,06:20,,,1.6,
9224,550,2021-01-20 06:30:00,06:30,,,1.6,
9225,549,2021-01-20 06:40:00,06:40,,,1.6,
9226,546,2021-01-20 06:50:00,06:50,,,1.6,
9227,545,2021-01-20 07:00:00,07:00,,,1.6,
9228,544,2021-01-20 07:10:00,07:10,,,1.6,
9229,543,2021-01-20 07:20:00,07:20,,,1.6,
9230,542,2021-01-20 07:30:00,07:30,,,1.6,
9231,541,2021-01-20 07:40:00,07:40,,,1.6,
9232,540,2021-01-20 07:50:00,07:50,,,1.6,
9233,539,2021-01-20 08:00:00,08:00,,,1.6,
9234,538,2021-01-20 08:10:00,08:10,,,1.6,
9235,537,2021-01-20 08:20:00,08:20,,,1.6,
9236,536,2021-01-20 08:30:00,08:30,,,1.6,
9237,535,2021-01-20 08:40:00,08:40,,,1.6,
9238,534,2021-01-20 08:50:00,08:50,,,1.6,
9239,533,2021-01-20 09:00:00,09:00,,,1.6,
9240,532,2021-01-20 09:10:00,09:10,,,1.6,
9241,531,2021-01-20 09:20:00,09:20,,,1.6,
9242,530,2021-01-20 09:30:00,09:30,,,1.6,
9243,529,2021-01-20 09:40:00,09:40,,,1.6,
9244,527,2021-01-20 09:50:00,09:50,,,1.6,
9245,526,2021-01-20 10:00:00,10:00,,,1.6,
9246,525,2021-01-20 10:10:00,10:10,,,1.6,
9247,524,2021-01-20 10:20:00,10:20,,,1.6,
9248,523,2021-01-20 10:30:00,10:30,,,1.6,
9249,522,2021-01-20 10:40:00,10:40,,,1.6,
9250,519,2021-01-20 10:50:00,10:50,,,1.6,
9251,518,2021-01-20 11:00:00,11:00,,,1.6,
9252,517,2021-01-20 11:10:00,11:10,,,1.6,
9253,516,2021-01-20 11:20:00,11:20,,,1.6,
9254,515,2021-01-20 11:30:00,11:30,,,1.7,
9255,514,2021-01-20 11:40:00,11:40,,,1.7,
9256,513,2021-01-20 11:50:00,11:50,,,1.6,
9257,512,2021-01-20 12:00:00,12:00,,,1.6,
9258,511,2021-01-20 12:10:00,12:10,,,1.6,
9259,510,2021-01-20 12:20:00,12:20,,,1.6,
9260,509,2021-01-20 12:30:00,12:30,,,1.6,
9261,508,2021-01-20 12:40:00,12:40,,,1.6,
9262,507,2021-01-20 12:50:00,12:50,,,1.6,
9263,506,2021-01-20 13:00:00,13:00,,,1.6,
9264,505,2021-01-20 13:10:00,13:10,,,1.6,
9265,504,2021-01-20 13:20:00,13:20,,,1.6,
9266,503,2021-01-20 13:30:00,13:30,,,1.6,
9267,502,2021-01-20 13:40:00,13:40,,,1.6,
9268,500,2021-01-20 13:50:00,13:50,,,1.6,
9269,499,2021-01-20 14:00:00,14:00,,,1.6,
9270,498,2021-01-20 14:10:00,14:10,,,1.6,
9271,497,2021-01-20 14:20:00,14:20,,,1.6,
9272,496,2021-01-20 14:30:00,14:30,,,1.6,
9273,495,2021-01-20 14:40:00,14:40,,,1.6,
9274,492,2021-01-20 14:50:00,14:50,,,1.6,
9275,491,2021-01-20 15:00:00,15:00,,,1.6,
9276,490,2021-01-20 15:10:00,15:10,,,1.6,
9277,489,2021-01-20 15:20:00,15:20,,,1.6,
9278,488,2021-01-20 15:30:00,15:30,,,1.6,
9279,487,2021-01-20 15:40:00,15:40,,,1.6,
9280,486,2021-01-20 15:50:00,15:50,,,1.6,
9281,485,2021-01-20 16:00:00,16:00,,,1.6,
9282,484,2021-01-20 16:10:00,16:10,,,1.6,
9283,483,2021-01-20 16:20:00,16:20,,,1.6,
9284,482,2021-01-20 16:30:00,16:30,,,1.6,
9285,481,2021-01-20 16:40:00,16:40,,,1.6,
9286,480,2021-01-20 16:50:00,16:50,,,1.6,
9287,479,2021-01-20 17:00:00,17:00,,,1.6,
9288,478,2021-01-20 17:10:00,17:10,,,1.6,
9289,477,2021-01-20 17:20:00,17:20,,,1.6,
9290,476,2021-01-20 17:30:00,17:30,,,1.6,
9291,475,2021-01-20 17:40:00,17:40,,,1.6,
9292,473,2021-01-20 17:50:00,17:50,,,1.6,
9293,472,2021-01-20 18:00:00,18:00,,,1.6,
9294,471,2021-01-20 18:10:00,18:10,,,1.6,
9295,470,2021-01-20 18:20:00,18:20,,,1.6,
9296,469,2021-01-20 18:30:00,18:30,,,1.6,
9297,468,2021-01-20 18:40:00,18:40,,,1.6,
9298,465,2021-01-20 18:50:00,18:50,,,1.6,
9299,464,2021-01-20 19:00:00,19:00,,,1.6,
9300,463,2021-01-20 19:10:00,19:10,,,1.6,
9301,462,2021-01-20 19:20:00,19:20,,,1.6,
