,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.,EC Voorr Sen.,Dr.In-Min,Dr.In-Gem,Dr.In-Max,Dr.Uit-Min,Dr.Uit-Gem,Dr.Uit-Max,D. Pres - Min,D. Pres - Gem,D. Pres - Max
7851,485,2020-11-08 16:10:00,16:10,,,6,,5,0,0,0,0,0,0,,,
7852,484,2020-11-08 16:20:00,16:20,,,6,,5,0,0,0,0,0,0,,,
7853,483,2020-11-08 16:30:00,16:30,,,6,,5,0,0,0,0,0,0,,,
7854,482,2020-11-08 16:40:00,16:40,,,6,,5,0,0,0,0,0,0,,,
7855,481,2020-11-08 16:50:00,16:50,,,6,,5,0,0,0,0,0,0,,,
7856,480,2020-11-08 17:00:00,17:00,,,6,,5,0,0,0,0,0,0,,,
7857,479,2020-11-08 17:10:00,17:10,,,6,,5,0,0,0,0,0,0,,,
7858,478,2020-11-08 17:20:00,17:20,,,6,,5,0,0,0,0,0,0,,,
7859,477,2020-11-08 17:30:00,17:30,,,6,,5,0,0,0,0,0,0,,,
7860,476,2020-11-08 17:40:00,17:40,,,6,,5,0,0,0,0,0,0,,,
7861,475,2020-11-08 17:50:00,17:50,,,6,,5,0,0,0,0,0,0,,,
7862,474,2020-11-08 18:00:00,18:00,,,6,,5,0,0,0,0,0,0,,,
7863,473,2020-11-08 18:10:00,18:10,,,6,,5,0,0,0,0,0,0,,,
7864,472,2020-11-08 18:20:00,18:20,,,6,,5,0,0,0,0,0,0,,,
7865,471,2020-11-08 18:30:00,18:30,,,6,,5,0,0,0,0,0,0,,,
7866,470,2020-11-08 18:40:00,18:40,,,6,,5,0,0,0,0,0,0,,,
7867,469,2020-11-08 18:50:00,18:50,,,6,,5,0,0,0,0,0,0,,,
7868,468,2020-11-08 19:00:00,19:00,,,6,,5,0,0,0,0,0,0,,,
7869,467,2020-11-08 19:10:00,19:10,,,6,,5,0,0,0,0,0,0,,,
7870,466,2020-11-08 19:20:00,19:20,,,6,,5,0,0,0,0,0,0,,,
7871,465,2020-11-08 19:30:00,19:30,,,6,,5,0,0,0,0,0,0,,,
7872,464,2020-11-08 19:40:00,19:40,,,6,,5,0,0,0,0,0,0,,,
7873,463,2020-11-08 19:50:00,19:50,,,6,,5,0,0,0,0,0,0,,,
7874,462,2020-11-08 20:00:00,20:00,,,6,,5,0,0,0,0,0,0,,,
7875,461,2020-11-08 20:10:00,20:10,,,6,,5,0,0,0,0,0,0,,,
7876,460,2020-11-08 20:20:00,20:20,,,6,,5,0,0,0,0,0,0,,,
7877,459,2020-11-08 20:30:00,20:30,,,6,,5,0,0,0,0,0,0,,,
7878,458,2020-11-08 20:40:00,20:40,,,6,,5,0,0,0,0,0,0,,,
7879,457,2020-11-08 20:50:00,20:50,,,6,,5,0,0,0,0,0,0,,,
7880,456,2020-11-08 21:00:00,21:00,,,6,,5,0,0,0,0,0,0,,,
7881,455,2020-11-08 21:10:00,21:10,,,6,,5,0,0,0,0,0,0,,,
7882,454,2020-11-08 21:20:00,21:20,,,6,,5,0,0,0,0,0,0,,,
7883,453,2020-11-08 21:30:00,21:30,,,6,,5,0,0,0,0,0,0,,,
7884,452,2020-11-08 21:40:00,21:40,,,6,,5,0,0,0,0,0,0,,,
7885,451,2020-11-08 21:50:00,21:50,,,6,,5,0,0,0,0,0,0,,,
7886,450,2020-11-08 22:00:00,22:00,,,6,,5,0,0,0,0,0,0,,,
7887,449,2020-11-08 22:10:00,22:10,,,6,,5,0,0,0,0,0,0,,,
7888,448,2020-11-08 22:20:00,22:20,,,6,,5,0,0,0,0,0,0,,,
7889,447,2020-11-08 22:30:00,22:30,,,6,,5,0,0,0,0,0,0,,,
7890,446,2020-11-08 22:40:00,22:40,,,6,,5,0,0,0,0,0,0,,,
7891,445,2020-11-08 22:50:00,22:50,,,6,,5,0,0,0,0,0,0,,,
7892,444,2020-11-08 23:00:00,23:00,,,6,,5,0,0,0,0,0,0,,,
7893,443,2020-11-08 23:10:00,23:10,,,6,,5,0,0,0,0,0,0,,,
