,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.,EC Voorr Sen.,Dr.In-Min,Dr.In-Gem,Dr.In-Max,Dr.Uit-Min,Dr.Uit-Gem,Dr.Uit-Max,D. Pres - Min,D. Pres - Gem,D. Pres - Max,Analog Sensor 1
8961,574,2021-02-04 16:10:00,16:10,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.2
8962,573,2021-02-04 16:20:00,16:20,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
8963,572,2021-02-04 16:30:00,16:30,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
8964,571,2021-02-04 16:40:00,16:40,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
8965,570,2021-02-04 16:50:00,16:50,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
8966,569,2021-02-04 17:00:00,17:00,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.2
8967,568,2021-02-04 17:10:00,17:10,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.2
8968,567,2021-02-04 17:20:00,17:20,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.6
8969,566,2021-02-04 17:30:00,17:30,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.6
8970,565,2021-02-04 17:40:00,17:40,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.5
8971,564,2021-02-04 17:50:00,17:50,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
8972,563,2021-02-04 18:00:00,18:00,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.5
8973,562,2021-02-04 18:10:00,18:10,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.5
8974,561,2021-02-04 18:20:00,18:20,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.5
8975,560,2021-02-04 18:30:00,18:30,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
8976,559,2021-02-04 18:40:00,18:40,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
8977,558,2021-02-04 18:50:00,18:50,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.5
8978,557,2021-02-04 19:00:00,19:00,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.1
8979,556,2021-02-04 19:10:00,19:10,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.2
8980,555,2021-02-04 19:20:00,19:20,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.5
8981,554,2021-02-04 19:30:00,19:30,,,1.0,,0.9,0.0,2.4,2.8,0.0,2.3,2.7,,,,7.3
8982,553,2021-02-04 19:40:00,19:40,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,7.9
8983,552,2021-02-04 19:50:00,19:50,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,8.5
8984,551,2021-02-04 20:00:00,20:00,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,7.9
8985,550,2021-02-04 20:10:00,20:10,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,7.9
8986,549,2021-02-04 20:20:00,20:20,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,7.3
8987,548,2021-02-04 20:30:00,20:30,,,1.1,,0.9,2.6,2.7,2.9,2.5,2.6,2.8,,,,4.8
8988,547,2021-02-04 20:40:00,20:40,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,4.2
8989,546,2021-02-04 20:50:00,20:50,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,3.6
8990,545,2021-02-04 21:00:00,21:00,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
8991,544,2021-02-04 21:10:00,21:10,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,7.9
8992,543,2021-02-04 21:20:00,21:20,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,8.5
8993,542,2021-02-04 21:30:00,21:30,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,8.5
8994,541,2021-02-04 21:40:00,21:40,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.7
8995,540,2021-02-04 21:50:00,21:50,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,5.5
8996,539,2021-02-04 22:00:00,22:00,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,4.8
8997,538,2021-02-04 22:10:00,22:10,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,4.2
8998,537,2021-02-04 22:20:00,22:20,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,4.8
8999,536,2021-02-04 22:30:00,22:30,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,5.5
9000,535,2021-02-04 22:40:00,22:40,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,5.5
9001,534,2021-02-04 22:50:00,22:50,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9002,533,2021-02-04 23:00:00,23:00,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,5.5
9003,532,2021-02-04 23:10:00,23:10,,,1.0,,0.9,1.6,2.7,2.9,1.6,2.6,2.9,,,,5.5
9004,531,2021-02-04 23:20:00,23:20,,,1.0,,0.9,2.6,2.7,2.8,2.4,2.6,2.7,,,,5.5
9005,530,2021-02-04 23:30:00,23:30,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,5.5
9006,529,2021-02-04 23:40:00,23:40,,,1.0,,0.9,2.6,2.7,2.9,2.5,2.6,2.8,,,,5.5
9007,528,2021-02-04 23:50:00,23:50,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,5.5
9008,527,2021-02-05 00:00:00,00:00,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,5.5
9009,526,2021-02-05 00:10:00,00:10,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,5.5
9010,525,2021-02-05 00:20:00,00:20,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9011,524,2021-02-05 00:30:00,00:30,,,1.0,,0.9,0.1,0.8,2.8,0.1,0.8,2.7,,,,4.2
9012,523,2021-02-05 00:40:00,00:40,,,1.0,,0.9,0.0,0.0,0.1,0.0,0.0,0.1,,,,4.2
9013,522,2021-02-05 00:50:00,00:50,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.6
9014,521,2021-02-05 01:00:00,01:00,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.2
9015,520,2021-02-05 01:10:00,01:10,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.1
9016,519,2021-02-05 01:20:00,01:20,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.1
9017,518,2021-02-05 01:30:00,01:30,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
9018,517,2021-02-05 01:40:00,01:40,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.1
9019,516,2021-02-05 01:50:00,01:50,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
9020,515,2021-02-05 02:00:00,02:00,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.1
9021,514,2021-02-05 02:10:00,02:10,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.1
9022,513,2021-02-05 02:20:00,02:20,,,1.1,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.7
9023,512,2021-02-05 02:30:00,02:30,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.7
9024,511,2021-02-05 02:40:00,02:40,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.7
9025,510,2021-02-05 02:50:00,02:50,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.7
9026,509,2021-02-05 03:00:00,03:00,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.7
9027,508,2021-02-05 03:10:00,03:10,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.3
9028,507,2021-02-05 03:20:00,03:20,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.3
9029,506,2021-02-05 03:30:00,03:30,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.3
9030,505,2021-02-05 03:40:00,03:40,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.3
9031,504,2021-02-05 03:50:00,03:50,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.3
9032,503,2021-02-05 04:00:00,04:00,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.9
9033,502,2021-02-05 04:10:00,04:10,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.9
9034,501,2021-02-05 04:20:00,04:20,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.5
9035,500,2021-02-05 04:30:00,04:30,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.9
9036,499,2021-02-05 04:40:00,04:40,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.9
9037,498,2021-02-05 04:50:00,04:50,,,1.0,,0.9,0.0,1.7,2.8,0.0,1.7,2.7,,,,8.5
9038,497,2021-02-05 05:00:00,05:00,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,7.9
9039,496,2021-02-05 05:10:00,05:10,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,9.1
9040,495,2021-02-05 05:20:00,05:20,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,9.7
9041,494,2021-02-05 05:30:00,05:30,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,8.5
9042,493,2021-02-05 05:40:00,05:40,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,9.1
9043,492,2021-02-05 05:50:00,05:50,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9044,491,2021-02-05 06:00:00,06:00,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,5.5
9045,490,2021-02-05 06:10:00,06:10,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,4.8
9046,489,2021-02-05 06:20:00,06:20,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9047,488,2021-02-05 06:30:00,06:30,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,7.9
9048,487,2021-02-05 06:40:00,06:40,,,1.1,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,9.1
9049,486,2021-02-05 06:50:00,06:50,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,9.1
9050,485,2021-02-05 07:00:00,07:00,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,8.5
9051,484,2021-02-05 07:10:00,07:10,,,1.0,,0.9,0.3,2.5,2.8,0.4,2.4,2.7,,,,7.3
9052,483,2021-02-05 07:20:00,07:20,,,1.0,,0.9,0.0,0.1,0.3,0.0,0.1,0.4,,,,4.2
9053,482,2021-02-05 07:30:00,07:30,,,1.0,,0.9,0.0,1.4,2.7,0.0,1.4,2.6,,,,5.5
9054,481,2021-02-05 07:40:00,07:40,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.6,2.6,,,,5.5
9055,480,2021-02-05 07:50:00,07:50,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,5.5
9056,479,2021-02-05 08:00:00,08:00,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9057,478,2021-02-05 08:10:00,08:10,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9058,477,2021-02-05 08:20:00,08:20,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.7
9059,476,2021-02-05 08:30:00,08:30,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9060,475,2021-02-05 08:40:00,08:40,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.7
9061,474,2021-02-05 08:50:00,08:50,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,7.3
9062,473,2021-02-05 09:00:00,09:00,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9063,472,2021-02-05 09:10:00,09:10,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9064,471,2021-02-05 09:20:00,09:20,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9065,470,2021-02-05 09:30:00,09:30,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.7
9066,469,2021-02-05 09:40:00,09:40,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,6.1
9067,468,2021-02-05 09:50:00,09:50,,,1.0,,0.9,2.0,2.7,2.9,2.1,2.6,2.9,,,,6.1
9068,467,2021-02-05 10:00:00,10:00,,,1.0,,0.9,0.0,0.2,2.7,0.0,0.2,2.6,,,,4.8
9069,466,2021-02-05 10:10:00,10:10,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
9070,465,2021-02-05 10:20:00,10:20,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.2
9071,464,2021-02-05 10:30:00,10:30,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.8
9072,463,2021-02-05 10:40:00,10:40,,,1.0,,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.1
