,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.,EC Voorr Sen.,Dr.In-Min,Dr.In-Gem,Dr.In-Max,Dr.Uit-Min,Dr.Uit-Gem,Dr.Uit-Max,D. Pres - Min,D. Pres - Gem,D. Pres - Max,Analog Sensor 1
13565,574,2021-03-08 16:10:00,16:10,,,1.3,,1.2,0.2,1.3,2.7,0.2,1.2,2.5,,,,15.2
13566,573,2021-03-08 16:20:00,16:20,,,1.3,,1.1,0.0,0.1,0.2,0.0,0.1,0.2,,,,14.0
13567,572,2021-03-08 16:30:00,16:30,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.0
13568,571,2021-03-08 16:40:00,16:40,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.4
13569,570,2021-03-08 16:50:00,16:50,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.4
13570,569,2021-03-08 17:00:00,17:00,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.6
13571,568,2021-03-08 17:10:00,17:10,,,1.3,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.0
13572,567,2021-03-08 17:20:00,17:20,,,1.3,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.4
13573,566,2021-03-08 17:30:00,17:30,,,1.3,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.4
13574,565,2021-03-08 17:40:00,17:40,,,1.3,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.4
13575,564,2021-03-08 17:50:00,17:50,,,1.3,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.0
13576,563,2021-03-08 18:00:00,18:00,,,1.3,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.6
13577,562,2021-03-08 18:10:00,18:10,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.6
13578,561,2021-03-08 18:20:00,18:20,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.6
13579,560,2021-03-08 18:30:00,18:30,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.6
13580,559,2021-03-08 18:40:00,18:40,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.0
13581,558,2021-03-08 18:50:00,18:50,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.0
13582,557,2021-03-08 19:00:00,19:00,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.6
13583,556,2021-03-08 19:10:00,19:10,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.6
13584,555,2021-03-08 19:20:00,19:20,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,15.8
13585,554,2021-03-08 19:30:00,19:30,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,15.8
13586,553,2021-03-08 19:40:00,19:40,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,16.5
13587,552,2021-03-08 19:50:00,19:50,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.6
13588,551,2021-03-08 20:00:00,20:00,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17.7
13589,550,2021-03-08 20:10:00,20:10,,,1.2,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,16.5
13590,549,2021-03-08 20:20:00,20:20,,,1.1,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.3
13591,548,2021-03-08 20:30:00,20:30,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17.7
13592,547,2021-03-08 20:40:00,20:40,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,15.8
13593,546,2021-03-08 20:50:00,20:50,,,1.3,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,15.8
13594,545,2021-03-08 21:00:00,21:00,,,1.3,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,17.1
13595,544,2021-03-08 21:10:00,21:10,,,1.3,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,17.1
13596,543,2021-03-08 21:20:00,21:20,,,1.3,,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,16.5
