,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.
2413,88,2020-09-21 00:10:00,00:10,,,14,
2414,87,2020-09-21 00:20:00,00:20,,,14,
2415,86,2020-09-21 00:30:00,00:30,,,14,
2416,85,2020-09-21 00:40:00,00:40,,,14,
2417,84,2020-09-21 00:50:00,00:50,,,14,
2418,83,2020-09-21 01:00:00,01:00,,,14,
2419,82,2020-09-21 01:10:00,01:10,,,14,
2420,81,2020-09-21 01:20:00,01:20,,,14,
2421,80,2020-09-21 01:30:00,01:30,,,14,
2422,79,2020-09-21 01:40:00,01:40,,,14,
2423,78,2020-09-21 01:50:00,01:50,,,14,
2424,77,2020-09-21 02:00:00,02:00,,,14,
2425,76,2020-09-21 02:10:00,02:10,,,14,
2426,75,2020-09-21 02:20:00,02:20,,,14,
2427,74,2020-09-21 02:30:00,02:30,,,14,
2428,73,2020-09-21 02:40:00,02:40,,,14,
2429,72,2020-09-21 02:50:00,02:50,,,14,
2430,71,2020-09-21 03:00:00,03:00,,,14,
2431,70,2020-09-21 03:10:00,03:10,,,14,
2432,69,2020-09-21 03:20:00,03:20,,,14,
2433,68,2020-09-21 03:30:00,03:30,,,14,
2434,67,2020-09-21 03:40:00,03:40,,,14,
2435,66,2020-09-21 03:50:00,03:50,,,14,
2436,65,2020-09-21 04:00:00,04:00,,,14,
2437,64,2020-09-21 04:10:00,04:10,,,14,
2438,63,2020-09-21 04:20:00,04:20,,,14,
2439,62,2020-09-21 04:30:00,04:30,,,14,
2440,61,2020-09-21 04:40:00,04:40,,,14,
2441,60,2020-09-21 04:50:00,04:50,,,14,
2442,59,2020-09-21 05:00:00,05:00,,,14,
2443,58,2020-09-21 05:10:00,05:10,,,14,
2444,57,2020-09-21 05:20:00,05:20,,,14,
2445,56,2020-09-21 05:30:00,05:30,,,14,
2446,55,2020-09-21 05:40:00,05:40,,,14,
2447,54,2020-09-21 05:50:00,05:50,,,14,
2448,53,2020-09-21 06:00:00,06:00,,,14,
2449,52,2020-09-21 06:10:00,06:10,,,13,
2450,51,2020-09-21 06:20:00,06:20,,,13,
2451,50,2020-09-21 06:30:00,06:30,,,13,
2452,49,2020-09-21 06:40:00,06:40,,,13,
2453,48,2020-09-21 06:50:00,06:50,,,13,
2454,47,2020-09-21 07:00:00,07:00,,,14,
2455,46,2020-09-21 07:10:00,07:10,,,14,
2456,45,2020-09-21 07:20:00,07:20,,,14,
2457,44,2020-09-21 07:30:00,07:30,,,14,
2458,43,2020-09-21 07:40:00,07:40,,,14,
2459,42,2020-09-21 07:50:00,07:50,,,14,
2460,41,2020-09-21 08:00:00,08:00,,,14,
2461,40,2020-09-21 08:10:00,08:10,,,14,
2462,39,2020-09-21 08:20:00,08:20,,,14,
2463,38,2020-09-21 08:30:00,08:30,,,14,
2464,37,2020-09-21 08:40:00,08:40,,,14,
2465,36,2020-09-21 08:50:00,08:50,,,13,
2466,35,2020-09-21 09:00:00,09:00,,,14,
2467,34,2020-09-21 09:10:00,09:10,,,13,
2468,33,2020-09-21 09:20:00,09:20,,,13,
2469,32,2020-09-21 09:30:00,09:30,,,13,
2470,31,2020-09-21 09:40:00,09:40,,,13,
2471,30,2020-09-21 09:50:00,09:50,,,13,
2472,29,2020-09-21 10:00:00,10:00,,,13,
2473,28,2020-09-21 10:10:00,10:10,,,13,
2474,27,2020-09-21 10:20:00,10:20,,,13,
2475,26,2020-09-21 10:30:00,10:30,,,13,
2476,25,2020-09-21 10:40:00,10:40,,,13,
2477,24,2020-09-21 10:50:00,10:50,,,13,
2478,23,2020-09-21 11:00:00,11:00,,,13,
2479,22,2020-09-21 11:10:00,11:10,,,13,
2480,21,2020-09-21 11:20:00,11:20,,,13,
2481,20,2020-09-21 11:30:00,11:30,,,13,
2482,19,2020-09-21 11:40:00,11:40,,,13,
2483,18,2020-09-21 11:50:00,11:50,,,13,
2484,17,2020-09-21 12:00:00,12:00,,,13,
2485,16,2020-09-21 12:10:00,12:10,,,13,
2486,15,2020-09-21 12:20:00,12:20,,,13,
2487,14,2020-09-21 12:30:00,12:30,,,13,
2488,13,2020-09-21 12:40:00,12:40,,,13,
2489,12,2020-09-21 12:50:00,12:50,,,13,
2490,11,2020-09-21 13:00:00,13:00,,,13,
2491,10,2020-09-21 13:10:00,13:10,,,13,
2492,9,2020-09-21 13:20:00,13:20,,,14,
2493,8,2020-09-21 13:30:00,13:30,,,14,
2494,7,2020-09-21 13:40:00,13:40,,,14,
2495,6,2020-09-21 13:50:00,13:50,,,14,
2496,5,2020-09-21 14:00:00,14:00,,,14,
2497,4,2020-09-21 14:10:00,14:10,,,14,
2498,3,2020-09-21 14:20:00,14:20,,,14,
2499,2,2020-09-21 14:30:00,14:30,,,13,
2500,1,2020-09-21 14:40:00,14:40,,,14,
