,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.
14645,662,2021-02-22 16:10:00,16:10,,,1.4,
14646,661,2021-02-22 16:20:00,16:20,,,1.4,
14647,660,2021-02-22 16:30:00,16:30,,,1.4,
14648,659,2021-02-22 16:40:00,16:40,,,1.4,
14649,658,2021-02-22 16:50:00,16:50,,,1.4,
14650,657,2021-02-22 17:00:00,17:00,,,1.4,
14651,656,2021-02-22 17:10:00,17:10,,,1.4,
14652,655,2021-02-22 17:20:00,17:20,,,1.4,
14653,654,2021-02-22 17:30:00,17:30,,,1.4,
14654,653,2021-02-22 17:40:00,17:40,,,1.4,
14655,651,2021-02-22 17:50:00,17:50,,,1.4,
14656,650,2021-02-22 18:00:00,18:00,,,1.4,
14657,649,2021-02-22 18:10:00,18:10,,,1.4,
14658,648,2021-02-22 18:20:00,18:20,,,1.4,
14659,647,2021-02-22 18:30:00,18:30,,,1.4,
14660,646,2021-02-22 18:40:00,18:40,,,1.4,
14661,644,2021-02-22 18:50:00,18:50,,,1.4,
14662,643,2021-02-22 19:00:00,19:00,,,1.4,
14663,642,2021-02-22 19:10:00,19:10,,,1.4,
14664,641,2021-02-22 19:20:00,19:20,,,1.4,
14665,640,2021-02-22 19:30:00,19:30,,,1.4,
14666,639,2021-02-22 19:40:00,19:40,,,1.4,
14667,636,2021-02-22 19:50:00,19:50,,,1.4,
14668,635,2021-02-22 20:00:00,20:00,,,1.4,
14669,634,2021-02-22 20:10:00,20:10,,,1.4,
14670,633,2021-02-22 20:20:00,20:20,,,1.4,
14671,632,2021-02-22 20:30:00,20:30,,,1.4,
14672,631,2021-02-22 20:40:00,20:40,,,1.4,
14673,630,2021-02-22 20:50:00,20:50,,,1.4,
14674,629,2021-02-22 21:00:00,21:00,,,1.4,
14675,628,2021-02-22 21:10:00,21:10,,,1.4,
14676,627,2021-02-22 21:20:00,21:20,,,1.4,
14677,626,2021-02-22 21:30:00,21:30,,,1.4,
14678,625,2021-02-22 21:40:00,21:40,,,1.4,
14679,623,2021-02-22 21:50:00,21:50,,,1.4,
14680,622,2021-02-22 22:00:00,22:00,,,1.4,
14681,621,2021-02-22 22:10:00,22:10,,,1.4,
14682,620,2021-02-22 22:20:00,22:20,,,1.4,
14683,619,2021-02-22 22:30:00,22:30,,,1.4,
14684,618,2021-02-22 22:40:00,22:40,,,1.4,
14685,616,2021-02-22 22:50:00,22:50,,,1.4,
14686,615,2021-02-22 23:00:00,23:00,,,1.4,
14687,614,2021-02-22 23:10:00,23:10,,,1.4,
14688,613,2021-02-22 23:20:00,23:20,,,1.4,
14689,612,2021-02-22 23:30:00,23:30,,,1.4,
14690,611,2021-02-22 23:40:00,23:40,,,1.4,
14691,608,2021-02-22 23:50:00,23:50,,,1.4,
14692,607,2021-02-23 00:00:00,00:00,,,1.4,
14693,606,2021-02-23 00:10:00,00:10,,,1.4,
14694,605,2021-02-23 00:20:00,00:20,,,1.4,
14695,604,2021-02-23 00:30:00,00:30,,,1.4,
14696,603,2021-02-23 00:40:00,00:40,,,1.4,
14697,602,2021-02-23 00:50:00,00:50,,,1.4,
