,Unnamed: 0,Datum,Tijd,Kraan,Reden,Water,Tijdsduur,Flow,Kan.1,Kan.1 Tijd,Kan.2,Kan.2 Tijd,Kan.3,Kan.3 Tijd,Kan.4,Kan.4 Tijd,Kan.5,Kan.5 Tijd,Kan.6,Kan.6 Tijd,Kan.7,Kan.7 Tijd,Kan.8,Kan.8 Tijd,EC-Lg,EC-Gm,EC-Hg,pH-Lg,pH-Gm,pH-Hg
14902,14903,2019-12-11 02:18:00,02:18,1,Dry Cont.,275,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14903,14904,2019-12-11 02:25:00,02:25,1,Dry Cont.,294,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14904,14905,2019-12-11 02:31:00,02:31,1,Dry Cont.,283,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14905,14906,2019-12-11 02:34:00,02:34,1,Dry Cont.,268,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14906,14907,2019-12-11 02:44:00,02:44,1,Dry Cont.,300,00:00:50,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14907,14908,2019-12-11 02:47:00,02:47,1,Dry Cont.,263,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14908,14909,2019-12-11 02:50:00,02:50,1,Dry Cont.,252,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14909,14910,2019-12-11 02:59:00,02:59,1,Dry Cont.,294,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14910,14911,2019-12-11 03:03:00,03:03,1,Dry Cont.,268,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14911,14912,2019-12-11 03:07:00,03:07,1,Dry Cont.,248,00:00:40,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14912,14913,2019-12-11 03:13:00,03:13,1,Dry Cont.,263,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14913,14914,2019-12-11 03:19:00,03:19,1,Dry Cont.,268,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14914,14915,2019-12-11 03:23:00,03:23,1,Dry Cont.,249,00:00:40,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14915,14916,2019-12-11 03:30:00,03:30,1,Dry Cont.,256,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14916,14917,2019-12-11 03:39:00,03:39,1,Dry Cont.,286,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14917,14918,2019-12-11 03:50:00,03:50,1,Dry Cont.,290,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14918,14919,2019-12-11 03:53:00,03:53,1,Dry Cont.,257,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14919,14920,2019-12-11 04:00:00,04:00,1,Dry Cont.,271,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14920,14921,2019-12-11 04:06:00,04:06,1,Dry Cont.,281,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14921,14922,2019-12-11 04:16:00,04:16,1,Dry Cont.,293,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14922,14923,2019-12-11 04:26:00,04:26,1,Dry Cont.,295,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14923,14924,2019-12-11 04:32:00,04:32,1,Dry Cont.,286,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14924,14925,2019-12-11 04:36:00,04:36,1,Dry Cont.,268,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14925,14926,2019-12-11 04:45:00,04:45,1,Dry Cont.,293,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14926,14927,2019-12-11 04:52:00,04:52,1,Dry Cont.,296,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14927,14928,2019-12-11 04:54:00,04:54,1,Dry Cont.,240,00:00:40,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14928,14929,2019-12-11 05:01:00,05:01,1,Dry Cont.,275,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14929,14930,2019-12-11 05:08:00,05:08,1,Dry Cont.,274,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14930,14931,2019-12-11 05:22:00,05:22,1,Dry Cont.,297,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14931,14932,2019-12-11 05:32:00,05:32,1,Dry Cont.,302,00:00:50,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
