,Unnamed: 0,Num.,Event,Date,Time
30582,30583,30583,Program 1 Dry Contact Aan,2019-12-12 00:03:00,00:03
30583,30584,30584,Program 1 Dry Contact Uit,2019-12-12 00:04:00,00:04
30584,30585,30585,Program 1 Dry Contact Aan,2019-12-12 00:10:00,00:10
30585,30586,30586,Program 1 Dry Contact Uit,2019-12-12 00:10:00,00:10
30586,30587,30587,Program 1 Dry Contact Aan,2019-12-12 00:20:00,00:20
30587,30588,30588,Program 1 Dry Contact Uit,2019-12-12 00:20:00,00:20
30588,30589,30589,Program 1 Dry Contact Aan,2019-12-12 00:53:00,00:53
30589,30590,30590,Program 1 Dry Contact Uit,2019-12-12 00:54:00,00:54
30590,30591,30591,Program 1 Dry Contact Aan,2019-12-12 00:55:00,00:55
30591,30592,30592,Program 1 Dry Contact Uit,2019-12-12 00:56:00,00:56
30592,30593,30593,Program 1 Dry Contact Aan,2019-12-12 01:01:00,01:01
30593,30594,30594,Program 1 Dry Contact Uit,2019-12-12 01:02:00,01:02
30594,30595,30595,Program 1 Dry Contact Aan,2019-12-12 01:05:00,01:05
30595,30596,30596,Program 1 Dry Contact Uit,2019-12-12 01:06:00,01:06
30596,30597,30597,Program 1 Dry Contact Aan,2019-12-12 01:16:00,01:16
30597,30598,30598,Program 1 Dry Contact Uit,2019-12-12 01:17:00,01:17
30598,30599,30599,Program 1 Dry Contact Aan,2019-12-12 01:21:00,01:21
30599,30600,30600,Program 1 Dry Contact Uit,2019-12-12 01:22:00,01:22
30600,30601,30601,Program 1 Dry Contact Aan,2019-12-12 01:30:00,01:30
30601,30602,30602,Program 1 Dry Contact Uit,2019-12-12 01:30:00,01:30
30602,30603,30603,Program 1 Dry Contact Aan,2019-12-12 01:32:00,01:32
30603,30604,30604,Program 1 Dry Contact Uit,2019-12-12 01:33:00,01:33
30604,30605,30605,Program 1 Dry Contact Aan,2019-12-12 01:46:00,01:46
30605,30606,30606,Program 1 Dry Contact Uit,2019-12-12 01:47:00,01:47
30606,30607,30607,Program 1 Dry Contact Aan,2019-12-12 01:57:00,01:57
30607,30608,30608,Program 1 Dry Contact Uit,2019-12-12 01:57:00,01:57
30608,30609,30609,Program 1 Dry Contact Aan,2019-12-12 02:03:00,02:03
30609,30610,30610,Program 1 Dry Contact Uit,2019-12-12 02:04:00,02:04
30610,30611,30611,Program 1 Dry Contact Aan,2019-12-12 02:26:00,02:26
30611,30612,30612,Program 1 Dry Contact Uit,2019-12-12 02:26:00,02:26
30612,30613,30613,Program 1 Dry Contact Aan,2019-12-12 02:32:00,02:32
30613,30614,30614,Program 1 Dry Contact Uit,2019-12-12 02:33:00,02:33
30614,30615,30615,Program 1 Dry Contact Aan,2019-12-12 02:39:00,02:39
