,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.
18105,670,2021-03-15 16:10:00,16:10,,,1.4,
18106,669,2021-03-15 16:20:00,16:20,,,1.4,
18107,668,2021-03-15 16:30:00,16:30,,,1.4,
18108,667,2021-03-15 16:40:00,16:40,,,1.4,
18109,664,2021-03-15 16:50:00,16:50,,,1.4,
18110,663,2021-03-15 17:00:00,17:00,,,1.4,
18111,662,2021-03-15 17:10:00,17:10,,,1.4,
18112,661,2021-03-15 17:20:00,17:20,,,1.4,
18113,660,2021-03-15 17:30:00,17:30,,,1.4,
18114,659,2021-03-15 17:40:00,17:40,,,1.4,
18115,658,2021-03-15 17:50:00,17:50,,,1.4,
18116,657,2021-03-15 18:00:00,18:00,,,1.4,
18117,656,2021-03-15 18:10:00,18:10,,,1.4,
18118,655,2021-03-15 18:20:00,18:20,,,1.4,
18119,654,2021-03-15 18:30:00,18:30,,,1.4,
18120,653,2021-03-15 18:40:00,18:40,,,1.4,
18121,651,2021-03-15 18:50:00,18:50,,,1.4,
18122,650,2021-03-15 19:00:00,19:00,,,1.4,
18123,649,2021-03-15 19:10:00,19:10,,,1.4,
18124,648,2021-03-15 19:20:00,19:20,,,1.4,
18125,647,2021-03-15 19:30:00,19:30,,,1.4,
18126,646,2021-03-15 19:40:00,19:40,,,1.4,
18127,644,2021-03-15 19:50:00,19:50,,,1.4,
18128,643,2021-03-15 20:00:00,20:00,,,1.4,
18129,642,2021-03-15 20:10:00,20:10,,,1.4,
18130,641,2021-03-15 20:20:00,20:20,,,1.4,
18131,640,2021-03-15 20:30:00,20:30,,,1.4,
18132,639,2021-03-15 20:40:00,20:40,,,1.4,
18133,636,2021-03-15 20:50:00,20:50,,,1.3,
18134,635,2021-03-15 21:00:00,21:00,,,1.4,
18135,634,2021-03-15 21:10:00,21:10,,,1.4,
18136,633,2021-03-15 21:20:00,21:20,,,1.4,
18137,632,2021-03-15 21:30:00,21:30,,,1.4,
18138,631,2021-03-15 21:40:00,21:40,,,1.4,
18139,630,2021-03-15 21:50:00,21:50,,,1.4,
18140,629,2021-03-15 22:00:00,22:00,,,1.4,
18141,628,2021-03-15 22:10:00,22:10,,,1.4,
18142,627,2021-03-15 22:20:00,22:20,,,1.4,
18143,626,2021-03-15 22:30:00,22:30,,,1.4,
18144,625,2021-03-15 22:40:00,22:40,,,1.4,
18145,623,2021-03-15 22:50:00,22:50,,,1.4,
18146,622,2021-03-15 23:00:00,23:00,,,1.4,
18147,621,2021-03-15 23:10:00,23:10,,,1.4,
18148,620,2021-03-15 23:20:00,23:20,,,1.4,
18149,619,2021-03-15 23:30:00,23:30,,,1.4,
18150,618,2021-03-15 23:40:00,23:40,,,1.4,
18151,616,2021-03-15 23:50:00,23:50,,,1.4,
18152,615,2021-03-16 00:00:00,00:00,,,1.4,
18153,614,2021-03-16 00:10:00,00:10,,,1.4,
18154,613,2021-03-16 00:20:00,00:20,,,1.4,
18155,612,2021-03-16 00:30:00,00:30,,,1.4,
18156,611,2021-03-16 00:40:00,00:40,,,1.4,
18157,608,2021-03-16 00:50:00,00:50,,,1.4,
18158,607,2021-03-16 01:00:00,01:00,,,1.4,
18159,606,2021-03-16 01:10:00,01:10,,,1.4,
18160,605,2021-03-16 01:20:00,01:20,,,1.3,
18161,604,2021-03-16 01:30:00,01:30,,,1.3,
18162,603,2021-03-16 01:40:00,01:40,,,1.3,
18163,602,2021-03-16 01:50:00,01:50,,,1.3,
18164,601,2021-03-16 02:00:00,02:00,,,1.3,
18165,600,2021-03-16 02:10:00,02:10,,,1.3,
18166,599,2021-03-16 02:20:00,02:20,,,1.3,
18167,598,2021-03-16 02:30:00,02:30,,,1.3,
18168,597,2021-03-16 02:40:00,02:40,,,1.3,
18169,595,2021-03-16 02:50:00,02:50,,,1.3,
18170,594,2021-03-16 03:00:00,03:00,,,1.3,
18171,593,2021-03-16 03:10:00,03:10,,,1.3,
18172,592,2021-03-16 03:20:00,03:20,,,1.3,
18173,591,2021-03-16 03:30:00,03:30,,,1.3,
18174,590,2021-03-16 03:40:00,03:40,,,1.3,
18175,588,2021-03-16 03:50:00,03:50,,,1.3,
18176,587,2021-03-16 04:00:00,04:00,,,1.3,
18177,586,2021-03-16 04:10:00,04:10,,,1.3,
18178,585,2021-03-16 04:20:00,04:20,,,1.3,
18179,584,2021-03-16 04:30:00,04:30,,,1.3,
18180,583,2021-03-16 04:40:00,04:40,,,1.3,
18181,580,2021-03-16 04:50:00,04:50,,,1.3,
18182,579,2021-03-16 05:00:00,05:00,,,1.3,
18183,578,2021-03-16 05:10:00,05:10,,,1.3,
18184,577,2021-03-16 05:20:00,05:20,,,1.3,
18185,576,2021-03-16 05:30:00,05:30,,,1.3,
18186,575,2021-03-16 05:40:00,05:40,,,1.3,
18187,574,2021-03-16 05:50:00,05:50,,,1.3,
18188,573,2021-03-16 06:00:00,06:00,,,1.3,
18189,572,2021-03-16 06:10:00,06:10,,,1.3,
18190,571,2021-03-16 06:20:00,06:20,,,1.3,
18191,570,2021-03-16 06:30:00,06:30,,,1.3,
18192,569,2021-03-16 06:40:00,06:40,,,1.3,
18193,567,2021-03-16 06:50:00,06:50,,,1.3,
18194,566,2021-03-16 07:00:00,07:00,,,1.3,
18195,565,2021-03-16 07:10:00,07:10,,,1.3,
18196,564,2021-03-16 07:20:00,07:20,,,1.3,
18197,563,2021-03-16 07:30:00,07:30,,,1.3,
18198,562,2021-03-16 07:40:00,07:40,,,1.3,
18199,560,2021-03-16 07:50:00,07:50,,,1.3,
18200,559,2021-03-16 08:00:00,08:00,,,1.3,
18201,558,2021-03-16 08:10:00,08:10,,,1.3,
18202,557,2021-03-16 08:20:00,08:20,,,1.3,
18203,556,2021-03-16 08:30:00,08:30,,,1.3,
18204,555,2021-03-16 08:40:00,08:40,,,1.3,
18205,552,2021-03-16 08:50:00,08:50,,,1.3,
18206,551,2021-03-16 09:00:00,09:00,,,1.3,
18207,550,2021-03-16 09:10:00,09:10,,,1.3,
18208,549,2021-03-16 09:20:00,09:20,,,1.3,
18209,548,2021-03-16 09:30:00,09:30,,,1.3,
