,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.,EC Voorr Sen.,Dr.In-Min,Dr.In-Gem,Dr.In-Max,Dr.Uit-Min,Dr.Uit-Gem,Dr.Uit-Max,D. Pres - Min,D. Pres - Gem,D. Pres - Max,Analog Sensor 1
11119,574,2021-02-19 16:10:00,16:10,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.5,2.6,,,,11.6
11120,573,2021-02-19 16:20:00,16:20,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.6,2.6,,,,11.0
11121,572,2021-02-19 16:30:00,16:30,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.5,2.6,,,,11.6
11122,571,2021-02-19 16:40:00,16:40,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11123,570,2021-02-19 16:50:00,16:50,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11124,569,2021-02-19 17:00:00,17:00,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11125,568,2021-02-19 17:10:00,17:10,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11126,567,2021-02-19 17:20:00,17:20,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.0
11127,566,2021-02-19 17:30:00,17:30,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.0
11128,565,2021-02-19 17:40:00,17:40,,,1.0,,0.9,2.5,2.7,2.9,2.4,2.5,2.8,,,,11.0
11129,564,2021-02-19 17:50:00,17:50,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,11.6
11130,563,2021-02-19 18:00:00,18:00,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.7,,,,11.6
11131,562,2021-02-19 18:10:00,18:10,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.6,,,,11.0
11132,561,2021-02-19 18:20:00,18:20,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.6,,,,11.6
11133,560,2021-02-19 18:30:00,18:30,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.6,2.6,,,,11.0
11134,559,2021-02-19 18:40:00,18:40,,,1.0,,0.9,0.0,0.2,2.7,0.0,0.2,2.6,,,,9.7
11135,558,2021-02-19 18:50:00,18:50,,,1.0,,0.9,0.0,1.1,2.8,0.0,1.1,2.6,,,,10.3
11136,557,2021-02-19 19:00:00,19:00,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.0
11137,556,2021-02-19 19:10:00,19:10,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11138,555,2021-02-19 19:20:00,19:20,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.5,2.7,,,,11.6
11139,554,2021-02-19 19:30:00,19:30,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11140,553,2021-02-19 19:40:00,19:40,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11141,552,2021-02-19 19:50:00,19:50,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11142,551,2021-02-19 20:00:00,20:00,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.8
11143,550,2021-02-19 20:10:00,20:10,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11144,549,2021-02-19 20:20:00,20:20,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11145,548,2021-02-19 20:30:00,20:30,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11146,547,2021-02-19 20:40:00,20:40,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11147,546,2021-02-19 20:50:00,20:50,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11148,545,2021-02-19 21:00:00,21:00,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11149,544,2021-02-19 21:10:00,21:10,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.8
11150,543,2021-02-19 21:20:00,21:20,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11151,542,2021-02-19 21:30:00,21:30,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.8
11152,541,2021-02-19 21:40:00,21:40,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.8
11153,540,2021-02-19 21:50:00,21:50,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.8
11154,539,2021-02-19 22:00:00,22:00,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.8
11155,538,2021-02-19 22:10:00,22:10,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11156,537,2021-02-19 22:20:00,22:20,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11157,536,2021-02-19 22:30:00,22:30,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11158,535,2021-02-19 22:40:00,22:40,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11159,534,2021-02-19 22:50:00,22:50,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11160,533,2021-02-19 23:00:00,23:00,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.8
11161,532,2021-02-19 23:10:00,23:10,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11162,531,2021-02-19 23:20:00,23:20,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11163,530,2021-02-19 23:30:00,23:30,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11164,529,2021-02-19 23:40:00,23:40,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.5,2.6,,,,11.6
11165,528,2021-02-19 23:50:00,23:50,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11166,527,2021-02-20 00:00:00,00:00,,,1.0,,0.9,1.7,2.7,2.9,1.8,2.5,2.9,,,,12.2
11167,526,2021-02-20 00:10:00,00:10,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.6,2.6,,,,11.0
11168,525,2021-02-20 00:20:00,00:20,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.6,,,,12.2
11169,524,2021-02-20 00:30:00,00:30,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.6,2.6,,,,11.6
11170,523,2021-02-20 00:40:00,00:40,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.6,2.6,,,,11.6
11171,522,2021-02-20 00:50:00,00:50,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11172,521,2021-02-20 01:00:00,01:00,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11173,520,2021-02-20 01:10:00,01:10,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.5,2.6,,,,11.6
11174,519,2021-02-20 01:20:00,01:20,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.5,2.6,,,,11.6
11175,518,2021-02-20 01:30:00,01:30,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
11176,517,2021-02-20 01:40:00,01:40,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.5,2.6,,,,11.6
11177,516,2021-02-20 01:50:00,01:50,,,1.0,,0.9,2.6,2.7,2.8,2.5,2.5,2.6,,,,12.2
11178,515,2021-02-20 02:00:00,02:00,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,12.2
11179,514,2021-02-20 02:10:00,02:10,,,1.0,,0.9,2.6,2.7,2.7,2.5,2.5,2.6,,,,11.6
