,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.
4738,640,2020-10-04 16:10:00,16:10,,,14,
4739,639,2020-10-04 16:20:00,16:20,,,14,
4740,638,2020-10-04 16:30:00,16:30,,,14,
4741,637,2020-10-04 16:40:00,16:40,,,13,
4742,635,2020-10-04 16:50:00,16:50,,,13,
4743,634,2020-10-04 17:00:00,17:00,,,14,
4744,633,2020-10-04 17:10:00,17:10,,,14,
4745,632,2020-10-04 17:20:00,17:20,,,14,
4746,631,2020-10-04 17:30:00,17:30,,,14,
4747,630,2020-10-04 17:40:00,17:40,,,14,
4748,627,2020-10-04 17:50:00,17:50,,,14,
4749,626,2020-10-04 18:00:00,18:00,,,14,
4750,625,2020-10-04 18:10:00,18:10,,,14,
4751,624,2020-10-04 18:20:00,18:20,,,14,
4752,623,2020-10-04 18:30:00,18:30,,,14,
4753,622,2020-10-04 18:40:00,18:40,,,13,
4754,621,2020-10-04 18:50:00,18:50,,,13,
4755,620,2020-10-04 19:00:00,19:00,,,13,
4756,619,2020-10-04 19:10:00,19:10,,,14,
4757,618,2020-10-04 19:20:00,19:20,,,14,
4758,617,2020-10-04 19:30:00,19:30,,,14,
4759,616,2020-10-04 19:40:00,19:40,,,14,
4760,615,2020-10-04 19:50:00,19:50,,,14,
4761,614,2020-10-04 20:00:00,20:00,,,14,
4762,613,2020-10-04 20:10:00,20:10,,,14,
4763,612,2020-10-04 20:20:00,20:20,,,13,
4764,611,2020-10-04 20:30:00,20:30,,,13,
4765,610,2020-10-04 20:40:00,20:40,,,13,
4766,608,2020-10-04 20:50:00,20:50,,,13,
4767,607,2020-10-04 21:00:00,21:00,,,13,
4768,606,2020-10-04 21:10:00,21:10,,,13,
4769,605,2020-10-04 21:20:00,21:20,,,13,
4770,604,2020-10-04 21:30:00,21:30,,,13,
4771,603,2020-10-04 21:40:00,21:40,,,13,
4772,600,2020-10-04 21:50:00,21:50,,,13,
4773,599,2020-10-04 22:00:00,22:00,,,13,
4774,598,2020-10-04 22:10:00,22:10,,,14,
4775,597,2020-10-04 22:20:00,22:20,,,14,
4776,596,2020-10-04 22:30:00,22:30,,,14,
4777,595,2020-10-04 22:40:00,22:40,,,14,
4778,594,2020-10-04 22:50:00,22:50,,,14,
4779,593,2020-10-04 23:00:00,23:00,,,14,
4780,592,2020-10-04 23:10:00,23:10,,,13,
4781,591,2020-10-04 23:20:00,23:20,,,13,
4782,590,2020-10-04 23:30:00,23:30,,,14,
4783,589,2020-10-04 23:40:00,23:40,,,13,
4784,588,2020-10-04 23:50:00,23:50,,,13,
4785,587,2020-10-05 00:00:00,00:00,,,13,
4786,586,2020-10-05 00:10:00,00:10,,,13,
4787,585,2020-10-05 00:20:00,00:20,,,13,
4788,584,2020-10-05 00:30:00,00:30,,,13,
4789,583,2020-10-05 00:40:00,00:40,,,13,
4790,581,2020-10-05 00:50:00,00:50,,,13,
4791,580,2020-10-05 01:00:00,01:00,,,13,
4792,579,2020-10-05 01:10:00,01:10,,,13,
4793,578,2020-10-05 01:20:00,01:20,,,13,
