,Unnamed: 0,Num.,Event,Date,Time
29927,29928,29928,Program 1 Dry Contact Aan,2019-12-06 02:44:00,02:44
29928,29929,29929,Program 1 Dry Contact Uit,2019-12-06 03:16:00,03:16
29929,29930,29930,Program 1 Dry Contact Aan,2019-12-06 07:42:00,07:42
29930,29931,29931,Program 1 Dry Contact Uit,2019-12-06 08:15:00,08:15
29931,29932,29932,Program 1 Dry Contact Aan,2019-12-06 10:26:00,10:26
29932,29933,29933,Program 1 Dry Contact Uit,2019-12-06 11:01:00,11:01
29933,29934,29934,Program 1 Dry Contact Aan,2019-12-06 12:47:00,12:47
29934,29935,29935,Program 1 Dry Contact Uit,2019-12-06 13:33:00,13:33
29935,29936,29936,Program 1 Dry Contact Aan,2019-12-06 14:32:00,14:32
29936,29937,29937,Program 1 Dry Contact Uit,2019-12-06 15:33:00,15:33
