,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.,EC Voorr Sen.,Dr.In-Min,Dr.In-Gem,Dr.In-Max,Dr.Uit-Min,Dr.Uit-Gem,Dr.Uit-Max,D. Pres - Min,D. Pres - Gem,D. Pres - Max
3823,568,2020-10-11 16:10:00,16:10,,,7,,6,26,34,38,25,32,38,,,
3824,567,2020-10-11 16:30:00,16:30,,,7,,6,26,34,38,25,31,38,,,
3825,566,2020-10-11 16:40:00,16:40,,,7,,6,18,34,38,19,31,38,,,
3826,565,2020-10-11 16:50:00,16:50,,,7,,6,21,34,39,22,31,38,,,
3827,564,2020-10-11 17:00:00,17:00,,,7,,6,26,34,38,25,31,38,,,
3828,563,2020-10-11 17:10:00,17:10,,,7,,6,18,34,39,19,31,39,,,
3829,562,2020-10-11 17:20:00,17:20,,,7,,6,24,34,38,24,31,38,,,
3830,561,2020-10-11 17:30:00,17:30,,,7,,6,19,34,39,19,31,38,,,
3831,560,2020-10-11 17:40:00,17:40,,,7,,6,24,34,38,24,31,38,,,
3832,559,2020-10-11 17:50:00,17:50,,,7,,6,20,34,39,20,31,39,,,
3833,558,2020-10-11 18:00:00,18:00,,,7,,6,26,34,38,25,31,38,,,
3834,557,2020-10-11 18:10:00,18:10,,,7,,6,25,34,39,24,31,38,,,
3835,556,2020-10-11 18:20:00,18:20,,,7,,6,26,34,38,25,31,38,,,
3836,555,2020-10-11 18:30:00,18:30,,,7,,6,27,34,39,25,31,38,,,
3837,554,2020-10-11 18:40:00,18:40,,,7,,6,19,34,38,19,31,38,,,
3838,553,2020-10-11 18:50:00,18:50,,,7,,6,26,34,38,25,31,38,,,
3839,552,2020-10-11 19:00:00,19:00,,,7,,6,18,34,39,19,31,39,,,
3840,551,2020-10-11 19:10:00,19:10,,,7,,6,26,34,39,25,31,38,,,
3841,550,2020-10-11 19:20:00,19:20,,,7,,6,23,34,38,24,31,38,,,
3842,549,2020-10-11 19:30:00,19:30,,,7,,6,20,34,39,20,31,39,,,
3843,548,2020-10-11 19:40:00,19:40,,,7,,6,19,34,39,19,31,39,,,
3844,547,2020-10-11 19:50:00,19:50,,,7,,6,25,34,38,25,31,38,,,
3845,546,2020-10-11 20:00:00,20:00,,,7,,6,21,34,39,21,31,39,,,
3846,545,2020-10-11 20:10:00,20:10,,,7,,6,12,28,38,9,25,38,,,
3847,544,2020-10-11 20:20:00,20:20,,,7,,6,12,12,12,8,9,9,,,
3848,543,2020-10-11 20:30:00,20:30,,,7,,6,12,12,12,8,8,9,,,
3849,542,2020-10-11 20:40:00,20:40,,,7,,6,12,12,12,8,8,8,,,
3850,541,2020-10-11 20:50:00,20:50,,,7,,6,12,12,12,8,8,8,,,
3851,540,2020-10-11 21:00:00,21:00,,,7,,6,12,12,12,8,8,8,,,
3852,539,2020-10-11 21:10:00,21:10,,,7,,6,12,12,13,8,8,8,,,
3853,538,2020-10-11 21:20:00,21:20,,,7,,6,12,12,13,8,8,8,,,
3854,537,2020-10-11 21:30:00,21:30,,,7,,6,12,13,15,7,9,16,,,
3855,536,2020-10-11 21:40:00,21:40,,,7,,6,12,13,15,7,9,16,,,
3856,535,2020-10-11 21:50:00,21:50,,,7,,6,13,31,38,9,27,38,,,
3857,534,2020-10-11 22:00:00,22:00,,,7,,6,26,34,38,24,31,38,,,
3858,533,2020-10-11 22:10:00,22:10,,,7,,6,25,34,38,24,31,38,,,
3859,532,2020-10-11 22:20:00,22:20,,,6,,4,0,14,38,0,12,38,,,
3860,531,2020-10-11 22:30:00,22:30,,,5,,3,0,0,24,0,0,23,,,
3861,530,2020-10-11 22:40:00,22:40,,,7,,6,19,34,39,19,30,38,,,
3862,529,2020-10-11 22:50:00,22:50,,,7,,6,25,34,39,24,31,38,,,
3863,528,2020-10-11 23:00:00,23:00,,,7,,6,24,34,38,24,31,38,,,
3864,527,2020-10-11 23:10:00,23:10,,,7,,6,20,34,39,20,31,38,,,
3865,526,2020-10-11 23:20:00,23:20,,,7,,6,20,34,39,20,30,39,,,
3866,525,2020-10-11 23:30:00,23:30,,,7,,6,20,34,39,20,31,38,,,
3867,524,2020-10-11 23:40:00,23:40,,,7,,6,21,34,38,21,31,38,,,
3868,523,2020-10-11 23:50:00,23:50,,,7,,6,23,34,38,23,31,38,,,
3869,522,2020-10-12 00:00:00,00:00,,,7,,6,26,34,38,24,31,38,,,
3870,521,2020-10-12 00:10:00,00:10,,,7,,6,21,35,38,21,31,38,,,
3871,520,2020-10-12 00:20:00,00:20,,,7,,6,23,34,39,23,31,38,,,
3872,519,2020-10-12 00:30:00,00:30,,,7,,6,24,35,38,24,31,38,,,
3873,518,2020-10-12 00:40:00,00:40,,,7,,6,26,34,38,24,30,38,,,
3874,517,2020-10-12 00:50:00,00:50,,,7,,6,19,35,39,19,31,38,,,
3875,516,2020-10-12 01:00:00,01:00,,,7,,6,26,34,39,24,31,38,,,
3876,515,2020-10-12 01:10:00,01:10,,,7,,6,26,34,38,24,31,39,,,
3877,514,2020-10-12 01:20:00,01:20,,,7,,6,21,34,39,21,31,38,,,
3878,513,2020-10-12 01:30:00,01:30,,,7,,6,25,34,38,24,31,38,,,
3879,512,2020-10-12 01:40:00,01:40,,,7,,6,24,34,38,24,31,38,,,
3880,511,2020-10-12 01:50:00,01:50,,,7,,6,25,34,38,24,31,38,,,
3881,510,2020-10-12 02:00:00,02:00,,,7,,6,26,34,38,24,31,38,,,
3882,509,2020-10-12 02:10:00,02:10,,,7,,6,26,34,38,24,30,38,,,
3883,508,2020-10-12 02:20:00,02:20,,,7,,6,19,34,39,19,30,39,,,
3884,507,2020-10-12 02:30:00,02:30,,,7,,6,22,34,39,22,30,39,,,
3885,506,2020-10-12 02:40:00,02:40,,,7,,6,26,34,38,24,31,38,,,
3886,505,2020-10-12 02:50:00,02:50,,,7,,6,21,34,39,21,30,39,,,
3887,504,2020-10-12 03:00:00,03:00,,,7,,6,22,35,39,23,31,38,,,
3888,503,2020-10-12 03:10:00,03:10,,,7,,6,20,34,39,20,30,39,,,
3889,502,2020-10-12 03:20:00,03:20,,,7,,6,26,35,38,24,31,38,,,
3890,501,2020-10-12 03:30:00,03:30,,,7,,6,25,34,38,24,30,38,,,
3891,500,2020-10-12 03:40:00,03:40,,,7,,6,19,35,39,20,31,39,,,
3892,499,2020-10-12 03:50:00,03:50,,,7,,6,20,35,38,21,31,38,,,
3893,498,2020-10-12 04:00:00,04:00,,,7,,6,28,35,38,24,31,38,,,
3894,497,2020-10-12 04:10:00,04:10,,,7,,6,30,35,38,24,31,38,,,
3895,496,2020-10-12 04:20:00,04:20,,,7,,6,20,34,38,20,31,38,,,
3896,495,2020-10-12 04:30:00,04:30,,,7,,6,25,34,39,24,30,38,,,
3897,494,2020-10-12 04:40:00,04:40,,,7,,6,22,35,39,22,31,39,,,
3898,493,2020-10-12 04:50:00,04:50,,,7,,6,20,34,39,20,30,39,,,
3899,492,2020-10-12 05:00:00,05:00,,,7,,6,20,35,39,20,31,39,,,
3900,491,2020-10-12 05:10:00,05:10,,,7,,6,20,34,39,20,30,38,,,
3901,490,2020-10-12 05:20:00,05:20,,,7,,6,24,34,38,24,31,38,,,
