,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.
15454,646,2021-02-27 16:10:00,16:10,,,1.4,
15455,645,2021-02-27 16:20:00,16:20,,,1.4,
15456,644,2021-02-27 16:30:00,16:30,,,1.4,
15457,643,2021-02-27 16:40:00,16:40,,,1.4,
15458,640,2021-02-27 16:50:00,16:50,,,1.4,
15459,639,2021-02-27 17:00:00,17:00,,,1.4,
15460,638,2021-02-27 17:10:00,17:10,,,1.4,
15461,637,2021-02-27 17:20:00,17:20,,,1.4,
15462,636,2021-02-27 17:30:00,17:30,,,1.4,
15463,635,2021-02-27 17:40:00,17:40,,,1.3,
15464,634,2021-02-27 17:50:00,17:50,,,1.3,
15465,633,2021-02-27 18:00:00,18:00,,,1.3,
15466,632,2021-02-27 18:10:00,18:10,,,1.3,
15467,631,2021-02-27 18:20:00,18:20,,,1.3,
15468,630,2021-02-27 18:30:00,18:30,,,1.3,
15469,629,2021-02-27 18:40:00,18:40,,,1.3,
15470,628,2021-02-27 18:50:00,18:50,,,1.4,
15471,627,2021-02-27 19:00:00,19:00,,,1.4,
15472,626,2021-02-27 19:10:00,19:10,,,1.3,
15473,625,2021-02-27 19:20:00,19:20,,,1.3,
15474,624,2021-02-27 19:30:00,19:30,,,1.4,
15475,623,2021-02-27 19:40:00,19:40,,,1.3,
15476,621,2021-02-27 19:50:00,19:50,,,1.4,
15477,620,2021-02-27 20:00:00,20:00,,,1.4,
15478,619,2021-02-27 20:10:00,20:10,,,1.4,
15479,618,2021-02-27 20:20:00,20:20,,,1.4,
15480,617,2021-02-27 20:30:00,20:30,,,1.4,
15481,616,2021-02-27 20:40:00,20:40,,,1.4,
15482,613,2021-02-27 20:50:00,20:50,,,1.4,
15483,612,2021-02-27 21:00:00,21:00,,,1.4,
15484,611,2021-02-27 21:10:00,21:10,,,1.4,
15485,610,2021-02-27 21:20:00,21:20,,,1.4,
15486,609,2021-02-27 21:30:00,21:30,,,1.4,
15487,608,2021-02-27 21:40:00,21:40,,,1.4,
15488,607,2021-02-27 21:50:00,21:50,,,1.4,
15489,606,2021-02-27 22:00:00,22:00,,,1.4,
15490,605,2021-02-27 22:10:00,22:10,,,1.4,
15491,604,2021-02-27 22:20:00,22:20,,,1.4,
15492,603,2021-02-27 22:30:00,22:30,,,1.4,
15493,602,2021-02-27 22:40:00,22:40,,,1.4,
15494,601,2021-02-27 22:50:00,22:50,,,1.4,
15495,600,2021-02-27 23:00:00,23:00,,,1.4,
15496,599,2021-02-27 23:10:00,23:10,,,1.4,
15497,598,2021-02-27 23:20:00,23:20,,,1.4,
15498,597,2021-02-27 23:30:00,23:30,,,1.4,
15499,596,2021-02-27 23:40:00,23:40,,,1.4,
15500,594,2021-02-27 23:50:00,23:50,,,1.4,
15501,593,2021-02-28 00:00:00,00:00,,,1.4,
15502,592,2021-02-28 00:10:00,00:10,,,1.4,
15503,591,2021-02-28 00:20:00,00:20,,,1.3,
15504,590,2021-02-28 00:30:00,00:30,,,1.3,
15505,589,2021-02-28 00:40:00,00:40,,,1.3,
15506,586,2021-02-28 00:50:00,00:50,,,1.3,
15507,585,2021-02-28 01:00:00,01:00,,,1.4,
15508,584,2021-02-28 01:10:00,01:10,,,1.4,
15509,583,2021-02-28 01:20:00,01:20,,,1.4,
15510,582,2021-02-28 01:30:00,01:30,,,1.4,
15511,581,2021-02-28 01:40:00,01:40,,,1.4,
15512,580,2021-02-28 01:50:00,01:50,,,1.4,
15513,579,2021-02-28 02:00:00,02:00,,,1.4,
15514,578,2021-02-28 02:10:00,02:10,,,1.4,
15515,577,2021-02-28 02:20:00,02:20,,,1.4,
15516,576,2021-02-28 02:30:00,02:30,,,1.4,
15517,575,2021-02-28 02:40:00,02:40,,,1.4,
15518,574,2021-02-28 02:50:00,02:50,,,1.4,
15519,573,2021-02-28 03:00:00,03:00,,,1.4,
15520,572,2021-02-28 03:10:00,03:10,,,1.4,
15521,571,2021-02-28 03:20:00,03:20,,,1.4,
15522,570,2021-02-28 03:30:00,03:30,,,1.4,
15523,569,2021-02-28 03:40:00,03:40,,,1.4,
15524,567,2021-02-28 03:50:00,03:50,,,1.4,
