,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.,EC Voorr Sen.,Dr.In-Min,Dr.In-Gem,Dr.In-Max,Dr.Uit-Min,Dr.Uit-Gem,Dr.Uit-Max,D. Pres - Min,D. Pres - Gem,D. Pres - Max
3391,568,2020-10-08 16:10:00,16:10,,,7,,6,12,13,13,9,9,10,,,
3392,567,2020-10-08 16:20:00,16:20,,,7,,6,12,13,13,9,9,9,,,
3393,566,2020-10-08 16:30:00,16:30,,,7,,6,12,13,13,9,9,9,,,
3394,565,2020-10-08 16:40:00,16:40,,,7,,6,13,13,13,9,9,9,,,
3395,564,2020-10-08 16:50:00,16:50,,,7,,6,13,13,13,9,9,9,,,
3396,563,2020-10-08 17:00:00,17:00,,,7,,6,13,13,13,9,9,9,,,
3397,562,2020-10-08 17:10:00,17:10,,,7,,6,13,13,13,8,8,9,,,
3398,561,2020-10-08 17:20:00,17:20,,,7,,6,13,28,38,8,26,38,,,
3399,560,2020-10-08 17:30:00,17:30,,,7,,6,34,35,35,34,34,35,,,
3400,559,2020-10-08 17:40:00,17:40,,,7,,6,35,35,35,34,34,35,,,
3401,558,2020-10-08 17:50:00,17:50,,,7,,6,35,35,35,34,34,35,,,
3402,557,2020-10-08 18:00:00,18:00,,,7,,6,35,35,35,34,34,35,,,
3403,556,2020-10-08 18:10:00,18:10,,,7,,6,35,35,35,34,34,35,,,
3404,555,2020-10-08 18:20:00,18:20,,,7,,6,35,35,35,34,34,35,,,
3405,554,2020-10-08 18:30:00,18:30,,,7,,6,35,35,35,34,34,35,,,
3406,553,2020-10-08 18:40:00,18:40,,,7,,6,12,19,35,12,19,35,,,
3407,552,2020-10-08 18:50:00,18:50,,,7,,6,12,12,12,11,11,12,,,
3408,551,2020-10-08 19:00:00,19:00,,,7,,6,12,12,12,11,11,12,,,
3409,550,2020-10-08 19:10:00,19:10,,,7,,6,12,12,12,11,11,11,,,
3410,549,2020-10-08 19:20:00,19:20,,,7,,6,12,12,12,11,11,11,,,
3411,548,2020-10-08 19:30:00,19:30,,,7,,6,12,12,12,11,11,11,,,
3412,547,2020-10-08 19:40:00,19:40,,,7,,6,12,12,12,11,11,11,,,
3413,546,2020-10-08 19:50:00,19:50,,,7,,6,12,12,12,11,11,11,,,
3414,545,2020-10-08 20:00:00,20:00,,,7,,6,12,12,12,11,11,11,,,
3415,544,2020-10-08 20:10:00,20:10,,,7,,6,12,12,12,11,11,11,,,
3416,543,2020-10-08 20:20:00,20:20,,,7,,6,12,12,12,11,11,11,,,
3417,542,2020-10-08 20:30:00,20:30,,,7,,6,12,12,12,11,11,11,,,
3418,541,2020-10-08 20:40:00,20:40,,,7,,6,12,12,12,11,11,11,,,
3419,540,2020-10-08 20:50:00,20:50,,,7,,6,12,12,12,11,11,11,,,
3420,539,2020-10-08 21:00:00,21:00,,,7,,6,12,12,12,11,11,11,,,
3421,538,2020-10-08 21:10:00,21:10,,,7,,6,12,12,12,11,11,11,,,
3422,537,2020-10-08 21:20:00,21:20,,,7,,6,12,12,12,11,11,11,,,
3423,536,2020-10-08 21:30:00,21:30,,,7,,6,0,1,12,0,1,11,,,
3424,535,2020-10-08 21:40:00,21:40,,,7,,6,0,3,13,0,3,11,,,
3425,534,2020-10-08 21:50:00,21:50,,,7,,6,12,13,13,11,11,11,,,
3426,533,2020-10-08 22:00:00,22:00,,,7,,6,12,12,12,11,11,11,,,
