,Unnamed: 0,Datum,Tijd,Kraan,Reden,Water,Tijdsduur,Flow,Kan.1,Kan.1 Tijd,Kan.2,Kan.2 Tijd,Kan.3,Kan.3 Tijd,Kan.4,Kan.4 Tijd,Kan.5,Kan.5 Tijd,Kan.6,Kan.6 Tijd,Kan.7,Kan.7 Tijd,Kan.8,Kan.8 Tijd,EC-Lg,EC-Gm,EC-Hg,pH-Lg,pH-Gm,pH-Hg
58,59,2021-03-09 18:53:00,18:53,10,Dry Cont.,4.925,00:15:00,19.69,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,1.4,1.4,1.4,,,
59,60,2021-03-10 07:07:00,07:07,10,Dry Cont.,4.921,00:15:00,19.68,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,1.4,1.4,1.4,,,
60,61,2021-03-11 05:05:00,05:05,10,Dry Cont.,5.025,00:15:00,20.09,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,1.4,1.4,1.4,,,
61,62,2021-03-12 02:25:00,02:25,10,Dry Cont.,4.915,00:15:00,19.65,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,1.4,1.4,1.4,,,
62,63,2021-03-12 11:45:00,11:45,10,Dry Cont.,4.573,00:13:52,19.78,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,1.4,1.4,1.4,,,
63,64,2021-03-12 21:21:00,21:21,10,Dry Cont.,4.957,00:15:00,19.82,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,1.4,1.4,1.4,,,
64,65,2021-03-13 08:02:00,08:02,10,Dry Cont.,4.954,00:15:00,19.81,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,1.4,1.4,1.4,,,
