,Unnamed: 0,Datum,Tijd,GemTemp,Gem-RV,EC Sen.,PH Sen.
3554,668,2020-12-16 16:10:00,16:10,,,1.7,
3555,667,2020-12-16 16:20:00,16:20,,,1.7,
3556,666,2020-12-16 16:30:00,16:30,,,1.7,
3557,665,2020-12-16 16:40:00,16:40,,,1.7,
3558,663,2020-12-16 16:50:00,16:50,,,1.7,
3559,662,2020-12-16 17:00:00,17:00,,,1.7,
3560,661,2020-12-16 17:10:00,17:10,,,1.7,
3561,660,2020-12-16 17:20:00,17:20,,,1.6,
3562,659,2020-12-16 17:30:00,17:30,,,1.6,
3563,658,2020-12-16 17:40:00,17:40,,,1.6,
3564,656,2020-12-16 17:50:00,17:50,,,1.6,
3565,655,2020-12-16 18:00:00,18:00,,,1.7,
3566,654,2020-12-16 18:10:00,18:10,,,1.7,
3567,653,2020-12-16 18:20:00,18:20,,,1.7,
3568,652,2020-12-16 18:30:00,18:30,,,1.7,
3569,651,2020-12-16 18:40:00,18:40,,,1.7,
3570,648,2020-12-16 18:50:00,18:50,,,1.7,
3571,647,2020-12-16 19:00:00,19:00,,,1.6,
3572,646,2020-12-16 19:10:00,19:10,,,1.7,
3573,645,2020-12-16 19:20:00,19:20,,,1.7,
3574,644,2020-12-16 19:30:00,19:30,,,1.7,
3575,643,2020-12-16 19:40:00,19:40,,,1.7,
3576,642,2020-12-16 19:50:00,19:50,,,1.6,
3577,641,2020-12-16 20:00:00,20:00,,,1.7,
3578,640,2020-12-16 20:10:00,20:10,,,1.7,
3579,639,2020-12-16 20:20:00,20:20,,,1.7,
3580,638,2020-12-16 20:30:00,20:30,,,1.7,
3581,637,2020-12-16 20:40:00,20:40,,,1.7,
3582,635,2020-12-16 20:50:00,20:50,,,1.7,
3583,634,2020-12-16 21:00:00,21:00,,,1.7,
3584,633,2020-12-16 21:10:00,21:10,,,1.7,
3585,632,2020-12-16 21:20:00,21:20,,,1.6,
3586,631,2020-12-16 21:30:00,21:30,,,1.6,
3587,630,2020-12-16 21:40:00,21:40,,,1.7,
3588,628,2020-12-16 21:50:00,21:50,,,1.7,
3589,627,2020-12-16 22:00:00,22:00,,,1.7,
3590,626,2020-12-16 22:10:00,22:10,,,1.7,
3591,625,2020-12-16 22:20:00,22:20,,,1.6,
3592,624,2020-12-16 22:30:00,22:30,,,1.7,
